source_table,parametre,type_entite_geo,nom_propose,code_propose,x,y,geom_wkt,attributs_detectes,table_geo_cible,confiance,justification
staging.raw_idp_2024_src_pollution_marche_cadre,,barrage,BARRAGE OULJET SOLTANE (MILIEU),staging_raw_idp_2024_src_pollution_marche_cadre_barrage_ouljet_soltane_milieu,454917.0,339829.0,POINT(454917.000 339829.000),"{""commune"": ""Ait Mimoune"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""BARRAGE OULJET SOLTANE (MILIEU)"", ""nature"": ""Barrage"", ""nature_pts_prelevement"": ""1"", ""params"": [], ""volume"": 1, ""nearest"": [{""table"": ""api.v_barrage_dimension"", ""id"": ""7143e9d6-1570-4ec7-8604-a2fd85c6f516"", ""code"": ""2075/21"", ""name"": ""ouljet essoltane"", ""type"": ""barrage"", ""distance_m"": 181.454}, {""table"": ""api.v_station_dimension"", ""id"": ""d9fadde8-d0b9-45b8-8d33-bebe8fdea7e2"", ""code"": ""788/21"", ""name"": ""brg ouljet soltane"", ""type"": ""station"", ""distance_m"": 2276.628}, {""table"": ""infra.stations_mesure"", ""id"": ""d9fadde8-d0b9-45b8-8d33-bebe8fdea7e2"", ""code"": ""788/21"", ""name"": ""brg ouljet soltane"", ""type"": ""station"", ""distance_m"": 2276.628}]}",infra.stations_mesure,FORTE,"Point orphelin avec XY, type probable=barrage, nearest=api.v_barrage_dimension:ouljet essoltane:181.454m"
staging.raw_idp_2024_src_pollution_marche_cadre,,barrage,BARRAGE OULJET SOLTANE (SURFACE),staging_raw_idp_2024_src_pollution_marche_cadre_barrage_ouljet_soltane_surface,454917.0,339829.0,POINT(454917.000 339829.000),"{""commune"": ""Ait Mimoune"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""BARRAGE OULJET SOLTANE (SURFACE)"", ""nature"": ""Barrage"", ""nature_pts_prelevement"": ""1"", ""params"": [], ""volume"": 1, ""nearest"": [{""table"": ""api.v_barrage_dimension"", ""id"": ""7143e9d6-1570-4ec7-8604-a2fd85c6f516"", ""code"": ""2075/21"", ""name"": ""ouljet essoltane"", ""type"": ""barrage"", ""distance_m"": 181.454}, {""table"": ""api.v_station_dimension"", ""id"": ""d9fadde8-d0b9-45b8-8d33-bebe8fdea7e2"", ""code"": ""788/21"", ""name"": ""brg ouljet soltane"", ""type"": ""station"", ""distance_m"": 2276.628}, {""table"": ""infra.stations_mesure"", ""id"": ""d9fadde8-d0b9-45b8-8d33-bebe8fdea7e2"", ""code"": ""788/21"", ""name"": ""brg ouljet soltane"", ""type"": ""station"", ""distance_m"": 2276.628}]}",infra.stations_mesure,FORTE,"Point orphelin avec XY, type probable=barrage, nearest=api.v_barrage_dimension:ouljet essoltane:181.454m"
staging.raw_idp_2024_src_pollution_marche_cadre,,autre,AVAL CONFLUENCE SEBOU-RDAT,staging_raw_idp_2024_src_pollution_marche_cadre_aval_confluence_sebou_rdat,458636.0,431756.0,POINT(458636.000 431756.000),"{""commune"": ""El Houafat"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""AVAL CONFLUENCE SEBOU-RDAT"", ""nature"": ""Eaux superficielles"", ""nature_pts_prelevement"": ""4"", ""params"": [], ""volume"": 1, ""nearest"": [{""table"": ""api.v_station_dimension"", ""id"": ""6a2947cd-af38-4119-a4e2-119d858ee6bc"", ""code"": ""3514/8"", ""name"": ""aval confluence sebou /rdat"", ""type"": ""station"", ""distance_m"": 929.963}, {""table"": ""infra.stations_mesure"", ""id"": ""6a2947cd-af38-4119-a4e2-119d858ee6bc"", ""code"": ""3514/8"", ""name"": ""aval confluence sebou /rdat"", ""type"": ""station"", ""distance_m"": 929.963}, {""table"": ""qualite.source_pollution_prelevement"", ""id"": ""ac9987a5-5e00-44db-84a7-bf159aa27533"", ""code"": """", ""name"": ""OHN_DOM_R1"", ""type"": ""point_pollution"", ""distance_m"": 4790.865}]}",infra.stations_mesure,FAIBLE,"Point orphelin avec XY, type probable=autre, nearest=api.v_station_dimension:aval confluence sebou /rdat:929.963m"
staging.raw_idp_2024_src_pollution_marche_cadre,,autre,FORAGE COLONEL ALLAM,staging_raw_idp_2024_src_pollution_marche_cadre_forage_colonel_allam,461128.0,411476.0,POINT(461128.000 411476.000),"{""commune"": ""Boumaiz"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""FORAGE COLONEL ALLAM"", ""nature"": ""Eaux souterraines"", ""nature_pts_prelevement"": ""9"", ""params"": [], ""volume"": 1, ""nearest"": [{""table"": ""api.v_station_dimension"", ""id"": ""18af65a8-4719-4796-ae60-60c26b17d3d7"", ""code"": ""2910/14"", ""name"": ""puits Ã cuvelÃ©"", ""type"": ""station"", ""distance_m"": 336.691}, {""table"": ""infra.stations_mesure"", ""id"": ""18af65a8-4719-4796-ae60-60c26b17d3d7"", ""code"": ""2910/14"", ""name"": ""puits Ã cuvelÃ©"", ""type"": ""station"", ""distance_m"": 336.691}, {""table"": ""api.v_station_dimension"", ""id"": ""813b540a-88a7-42d2-961e-1e4eda91204c"", ""code"": ""648/14"", ""name"": ""puits Ã captage cuvelÃ©"", ""type"": ""station"", ""distance_m"": 4345.601}]}",infra.stations_mesure,FORTE,"Point orphelin avec XY, type probable=autre, nearest=api.v_station_dimension:puits Ã cuvelÃ©:336.691m"
staging.raw_idp_2024_src_pollution_marche_cadre,,autre,PUITS ALLAL ZOUHRI,staging_raw_idp_2024_src_pollution_marche_cadre_puits_allal_zouhri,465624.0,410619.0,POINT(465624.000 410619.000),"{""commune"": ""Echebanate"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""PUITS ALLAL ZOUHRI"", ""nature"": ""Eaux souterraines"", ""nature_pts_prelevement"": ""12"", ""params"": [], ""volume"": 1, ""nearest"": [{""table"": ""infra.rejet_domestique"", ""id"": ""331"", ""code"": ""AID_DOM1_R2"", ""name"": ""AID_DOM1_R2"", ""type"": ""rejet_domestique"", ""distance_m"": 405.08}, {""table"": ""infra.rejet_domestique"", ""id"": ""332"", ""code"": ""AID_DOM1_R3"", ""name"": ""AID_DOM1_R3"", ""type"": ""rejet_domestique"", ""distance_m"": 571.805}, {""table"": ""api.v_station_dimension"", ""id"": ""813b540a-88a7-42d2-961e-1e4eda91204c"", ""code"": ""648/14"", ""name"": ""puits Ã captage cuvelÃ©"", ""type"": ""station"", ""distance_m"": 639.715}]}",infra.stations_mesure,FORTE,"Point orphelin avec XY, type probable=autre, nearest=infra.rejet_domestique:AID_DOM1_R2:405.08m"
staging.raw_idp_2024_src_pollution_marche_cadre,,station,AVAL STEP SIDI KACEM,staging_raw_idp_2024_src_pollution_marche_cadre_aval_step_sidi_kacem,467580.0,407448.0,POINT(467580.000 407448.000),"{""commune"": ""Zirara"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""AVAL STEP SIDI KACEM"", ""nature"": ""Eaux superficielles"", ""nature_pts_prelevement"": ""4"", ""params"": [], ""volume"": 1, ""nearest"": [{""table"": ""infra.step"", ""id"": ""7"", ""code"": ""ZIR_DOM1"", ""name"": ""ZIR_DOM1"", ""type"": ""step"", ""distance_m"": 1200.544}, {""table"": ""infra.rejet_domestique"", ""id"": ""308"", ""code"": ""SDK_DOM1_R1"", ""name"": ""SDK_DOM1_R1"", ""type"": ""rejet_domestique"", ""distance_m"": 1490.157}, {""table"": ""infra.rejet_domestique"", ""id"": ""334"", ""code"": ""SDK_DOM1_R1"", ""name"": ""SDK_DOM1_R1"", ""type"": ""rejet_domestique"", ""distance_m"": 1490.157}]}",infra.stations_mesure,FORTE,"Point orphelin avec XY, type probable=station, nearest=infra.step:ZIR_DOM1:1200.544m"
staging.raw_idp_2024_src_pollution_marche_cadre,,autre,PONT KHENICHET,staging_raw_idp_2024_src_pollution_marche_cadre_pont_khenichet,473637.0,426830.0,POINT(473637.000 426830.000),"{""commune"": ""Khenichet"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""PONT KHENICHET"", ""nature"": ""Eaux superficielles"", ""nature_pts_prelevement"": ""4"", ""params"": [], ""volume"": 1, ""nearest"": [{""table"": ""api.v_station_dimension"", ""id"": ""9d9c6454-777b-455f-a927-da8e8d63b5ec"", ""code"": ""1359/8"", ""name"": ""khenichet"", ""type"": ""station"", ""distance_m"": 90.441}, {""table"": ""infra.stations_mesure"", ""id"": ""9d9c6454-777b-455f-a927-da8e8d63b5ec"", ""code"": ""1359/8"", ""name"": ""khenichet"", ""type"": ""station"", ""distance_m"": 90.441}, {""table"": ""qualite.source_pollution_prelevement"", ""id"": ""077e6c03-880c-4593-9616-757bf4ae92fb"", ""code"": """", ""name"": ""REJET R10 (R10: KNH-DOM-R1)"", ""type"": ""point_pollution"", ""distance_m"": 181.417}]}",infra.stations_mesure,FAIBLE,"Point orphelin avec XY, type probable=autre, nearest=api.v_station_dimension:khenichet:90.441m"
staging.raw_idp_2024_src_pollution_marche_cadre,,autre,PUITS BADIA SAHLI,staging_raw_idp_2024_src_pollution_marche_cadre_puits_badia_sahli,499728.0,456521.0,POINT(499728.000 456521.000),"{""commune"": ""Sidi Redouane"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""PUITS BADIA SAHLI"", ""nature"": ""Eaux souterraines"", ""nature_pts_prelevement"": ""12"", ""params"": [], ""volume"": 1, ""nearest"": [{""table"": ""infra.huilerie"", ""id"": ""214"", ""code"": ""SDR_UT04"", ""name"": ""AJAMS"", ""type"": ""huilerie"", ""distance_m"": 1105.273}, {""table"": ""api.v_station_dimension"", ""id"": ""1e6bf6c4-c2e9-4c15-ae50-f9a8fc8e7f5a"", ""code"": ""1553/9"", ""name"": ""onep ain douj"", ""type"": ""station"", ""distance_m"": 1379.286}, {""table"": ""infra.stations_mesure"", ""id"": ""1e6bf6c4-c2e9-4c15-ae50-f9a8fc8e7f5a"", ""code"": ""1553/9"", ""name"": ""onep ain douj"", ""type"": ""station"", ""distance_m"": 1379.286}]}",infra.stations_mesure,FORTE,"Point orphelin avec XY, type probable=autre, nearest=infra.huilerie:AJAMS:1105.273m"
staging.raw_idp_2024_src_pollution_marche_cadre,,station,AVAL STEP EL HAJEB,staging_raw_idp_2024_src_pollution_marche_cadre_aval_step_el_hajeb,504570.0,348710.0,POINT(504570.000 348710.000),"{""commune"": ""Ait Naamane"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""AVAL STEP EL HAJEB"", ""nature"": ""Eaux superficielles"", ""nature_pts_prelevement"": ""4"", ""params"": [], ""volume"": 1, ""nearest"": [{""table"": ""infra.step"", ""id"": ""15"", ""code"": ""HJB_DOM1"", ""name"": ""HJB_DOM1"", ""type"": ""step"", ""distance_m"": 642.05}, {""table"": ""infra.point_eau"", ""id"": ""3d42a3c9-4cbe-436b-abd7-64ded19f8692"", ""code"": ""HJB_PDOM1_PE1"", ""name"": ""CoopÃ©rative Ait Naamane"", ""type"": ""point_eau"", ""distance_m"": 879.755}, {""table"": ""api.v_station_dimension"", ""id"": ""3b8206f8-7545-4894-868c-b44890981086"", ""code"": ""R306/22"", ""name"": ""R 306/22"", ""type"": ""station"", ""distance_m"": 2993.013}]}",infra.stations_mesure,FORTE,"Point orphelin avec XY, type probable=station, nearest=infra.step:HJB_DOM1:642.05m"
staging.raw_idp_2024_src_pollution_marche_cadre,,barrage,BARRAGE SIDI ECHAHED (FOND),staging_raw_idp_2024_src_pollution_marche_cadre_barrage_sidi_echahed_fond,507232.0,389307.0,POINT(507232.000 389307.000),"{""commune"": ""Sebaa Rouadi"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""BARRAGE SIDI ECHAHED (FOND)"", ""nature"": ""Barrage"", ""nature_pts_prelevement"": ""1"", ""params"": [], ""volume"": 1, ""nearest"": [{""table"": ""api.v_barrage_dimension"", ""id"": ""52f3504e-f707-4e4b-81c5-a51d4bfac003"", ""code"": ""2820/15"", ""name"": ""sidi chahed"", ""type"": ""barrage"", ""distance_m"": 251.369}, {""table"": ""api.v_station_dimension"", ""id"": ""2f62e4cd-af6b-49b4-80b8-a9bc928e514a"", ""code"": ""3266/15"", ""name"": ""brg echahed"", ""type"": ""station"", ""distance_m"": 440.762}, {""table"": ""infra.stations_mesure"", ""id"": ""2f62e4cd-af6b-49b4-80b8-a9bc928e514a"", ""code"": ""3266/15"", ""name"": ""brg echahed"", ""type"": ""station"", ""distance_m"": 440.762}]}",infra.stations_mesure,FORTE,"Point orphelin avec XY, type probable=barrage, nearest=api.v_barrage_dimension:sidi chahed:251.369m"
