review_id,run_id,source_layer,source_id,source_name,source_type,master_site_id_candidate,master_site_name,master_site_type,distance_m,score,review_bucket,review_action_default,suggested_decision,business_decision,comments,qa_color,qa_icon,WKT
04bc2b52-9fae-4a3d-90a6-24e235323ce3,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,208,Cooperative Almoumnia Essatia,HUILERIE,b065bd4d-cc7f-450d-8b10-a8947e19b6d2,Cooperative Almoumnia Essatia,infra.huilerie_inventaire_pollution,0.04,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(503285 440444)
7bb2c1ad-6dd2-4a99-a975-4cb952939f6c,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,227,Zoyout Chefchaouen,HUILERIE,fbfcfcbb-a262-4edf-aa1d-2faecddf1581,Zoyout Chefchaouen,infra.huilerie_inventaire_pollution,0.06,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(504605 480731)
b4335a1d-a5e3-40cb-908b-95a008256c8f,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,549,"H,OUERYAGHLI ADNAN",HUILERIE,6ec91ed0-6f67-44c8-a99b-cdc4f9df2806,"H,OUERYAGHLI ADNAN",infra.huilerie_inventaire_pollution,0.06,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(488592 384219)
acd8f58f-3aae-4814-9bad-b641694a6fb4,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,201,Ste Huillerie Dalila,HUILERIE,163544a2-145a-46bd-b391-e7a181fda013,Ste Huillerie Dalila,infra.huilerie_inventaire_pollution,0.08,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(518169 460880)
4099fb59-8327-40ec-b28d-dfdc8d1efd69,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,31,Société Ouled Anajate,HUILERIE,8b72a167-17e9-4b5c-978d-2b7f21d6decf,Société Ouled Anajate,infra.huilerie_inventaire_pollution,0.08,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(515568 376239)
770bbf34-d936-4c2f-b8c9-94e6e5b59564,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.decharge,13,décharge guigou,DECHARGE,d2329708-0407-4b9c-9857-5e49e1880334,Décharge Guigou,infra.decharge_inventaire_pollution_general,0.11,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(554610.89 309314.01)
e473b7af-5450-4f7d-aa40-fc5e650fa33f,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,513,"H,YOUSSEF MKDAD",HUILERIE,5c292b4b-1a7f-4eef-b58f-de87a83a43d4,"H,YOUSSEF MKDAD",infra.huilerie_inventaire_pollution,0.12,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(513814 375567)
f8417848-d914-4f02-b92b-1cca062cb1e0,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,207,Huilerie Modèrene Ouannana,HUILERIE,86cb4918-ce01-4dc4-a0a9-09a88d676d02,Huilerie Modèrene Ouannana,infra.huilerie_inventaire_pollution,0.14,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(503586 450001)
1d94de6b-10b3-45c9-923c-96b81808f26c,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,539,OLEA SAISS,HUILERIE,96a8eb10-c5a6-45ba-abb9-fb5ecb2d30c8,OLEA SAISS,infra.huilerie_inventaire_pollution,0.14,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(484750 375784)
de917302-ac85-4700-8666-3190a1f29dd4,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,206,Lhaj Abdessalam,HUILERIE,6ffab696-7e78-43a4-9927-a28e29cae370,Lhaj Abdessalam,infra.huilerie_inventaire_pollution,0.16,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(504103 479981)
e258ee17-ae4f-4544-81a7-87619006567d,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,118,H.MOULAY DRISS EL AZHAR,HUILERIE,a8f1aa7d-ab3f-4481-b88d-eecf17acb649,H.MOULAY DRISS EL AZHAR,infra.huilerie_inventaire_pollution,0.17,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(530057 391038)
