review_id,run_id,source_layer,source_id,source_name,source_type,master_site_id_candidate,master_site_name,master_site_type,distance_m,score,confidence_level,conflict_type,review_priority,recommended_decision,qa_reason,qa_color,qa_icon,risk_category,geometry_source_wkt,geometry_master_wkt,geometry_display_wkt,geom_wkt
d76b4ccd-beaa-4870-8fe5-432e5f46a1f8,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,be6b66aa-8713-4b51-a147-648811a020b4,Huilerie El Hajoui Ikhouane,HUILERIE,91010e7e-94c2-4894-b565-2573063f598b,Huilerie El Hajoui Ikhouane,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(501213 369082),POINT(501213 369082),POINT(501213 369082),POINT(501213 369082)
3b6498ef-ee59-414a-a63e-4222e033f3a2,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,a80eaf8c-32ba-4dd2-9e5d-35fd3c718325,Huilerie El Jabalia,HUILERIE,05dd2fde-d425-41b5-b669-539c1813bd8d,Huilerie El Jabalia,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(570743 439514),POINT(570743 439514),POINT(570743 439514),POINT(570743 439514)
4c8d7cae-5282-45ab-b207-35d924348fe6,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,844c1095-d490-4f00-a64f-8e267380f2f7,Huilerie el jadida,HUILERIE,f30b2823-7436-4f29-9342-fdd073f790db,Huilerie el jadida,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(629834 405011),POINT(629834 405011),POINT(629834 405011),POINT(629834 405011)
e8b9b949-2c82-466e-8da5-c7c4a79f08b6,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,315e4881-fa12-4b56-a656-8c1678dfca4e,Huilerie El Jadida,HUILERIE,e5b5f041-20a6-45ff-af29-3f691f2b3ef0,Huilerie El Jadida,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(472155 405633),POINT(472155 405633),POINT(472155 405633),POINT(472155 405633)
a4d828fc-0f38-4b30-a3e9-b674e83acbdb,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,cc89fe71-4f51-4dcf-b520-6873128e8c68,Huilerie El Wahda,HUILERIE,49c53b23-9b31-4c08-aaa6-44bd389b7031,Huilerie El Wahda,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(569879 439125),POINT(569879 439125),POINT(569879 439125),POINT(569879 439125)
7ab67d3a-b743-4e33-9746-6224301c417e,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,1e696f9c-db50-4406-9d4b-6c5088856d28,Huilerie El Kabaelles,HUILERIE,5ea62d97-7d59-408e-9864-57aa7c623c79,Huilerie El Kabaelles,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(584247 429685),POINT(584247 429685),POINT(584247 429685),POINT(584247 429685)
245e7de4-0435-4b73-bb3d-e4c4cfeb48a6,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,6814c994-6d0b-45ff-b563-f1ccdb7ee181,Huilerie El khaire,HUILERIE,1e89b462-4b68-457b-a7ed-edcc4cae9ebd,Huilerie El khaire,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(455087 363104),POINT(455087 363104),POINT(455087 363104),POINT(455087 363104)
c819ca40-4b02-4c27-ac22-b7e06d673f1a,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,f0df0b08-41fa-474e-9a60-b589062b29c6,Huilerie El Kherifi Ali,HUILERIE,1058a6cd-dcbf-4f31-85eb-e1ffcf3536d6,Huilerie El Kherifi Ali,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(507835 447715),POINT(507835 447715),POINT(507835 447715),POINT(507835 447715)
16d6e65a-ce6f-434e-a4d4-898e46e7a366,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,1a9219e4-f9ef-4b50-81d3-fb5d8f735012,Huilerie El Maarif Bni Snana Taoughilt,HUILERIE,61c38295-4837-4cb0-92c4-cb1acdb6c8c2,Huilerie El Maarif Bni Snana Taoughilt,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(494119 429468),POINT(494119 429468),POINT(494119 429468),POINT(494119 429468)
0b53dd37-7833-4137-9032-f299d7e72a7a,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,5ad5ed88-4294-4ecd-a984-878d23fad850,Huilerie El Nour,HUILERIE,a78b3ff0-ea25-4f0f-a02e-eb0b4c02724a,Huilerie El Nour,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(570718 439115),POINT(570718 439115),POINT(570718 439115),POINT(570718 439115)
