run_id,review_id,candidate_id,source_layer,source_id,master_site_id,distance_m,score,conflict_type,source_name,master_site_name,commune_source,commune_master,source_type_source,source_type_master,recommended_decision,review_priority,review_status,reason
e60088e9-cf94-4e41-ae65-a5390866b4b8,55454bac-2ecf-4fc0-a1b3-34b5452ad097,,infra.decharge,155,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,ac7b0439-5d7a-4686-bdc8-3247b54fa931,,infra.decharge,156,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,323821ae-99bc-4930-9ef4-210a596f720c,,infra.decharge,158,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,2b8aa258-8cfd-47e2-b436-307896072e18,,infra.decharge,159,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,a826d595-f55b-409d-b63c-a346f920a9b5,,infra.decharge,160,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,7adeb60c-e254-4853-aab1-080c4f412188,,infra.decharge,161,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,ae48ee19-a04f-4b28-8578-605d1dbd2f37,,infra.decharge,163,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,e4ecd010-fa80-4acb-bdee-ba5a96c73f8c,,infra.decharge,166,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,b0761f71-7dfc-4310-8def-8fe92a3f0c95,,infra.decharge,168,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,3cdc612e-ab57-4f58-83f2-064030b48477,,infra.decharge,181,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,c82b2eae-0445-4284-a879-a4d7f929ecdd,,infra.decharge,182,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,a3ff7b83-0f3b-4ba9-bf37-888e689751e6,,infra.decharge,183,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,c63a9860-edd5-4106-a9f5-f3d7c0946a6a,,infra.decharge,184,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,db15f8a4-5a80-452d-886d-6e733ecda1e4,,infra.decharge,196,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,90c526a8-f75f-429e-a1f0-874d2cdff1ba,,infra.decharge,197,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,20c1d4a8-1e98-4824-89f7-3c0c6763cc7c,,infra.decharge,198,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,7d27789d-09aa-468f-b6c7-205b716b0ca6,,infra.decharge,199,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,94da81e9-2051-48d6-9b67-af41aeda7a66,,infra.decharge,20,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,6bdd2f54-7b32-4938-bbb1-94d3a21eb95e,,infra.decharge,200,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
