run_id,review_id,candidate_id,source_layer,source_id,master_site_id,distance_m,score,conflict_type,source_name,master_site_name,commune_source,commune_master,source_type_source,source_type_master,recommended_decision,review_priority,review_status,reason
e60088e9-cf94-4e41-ae65-a5390866b4b8,a3686322-1d44-4280-be6a-ba49a7f0a030,2ba9b639-8de2-40b9-946e-e0829f28c9cc,infra.stm,1280dd41-3fda-4983-b9e5-9cfdd3839a9a,8e5d950e-0835-4c6b-bff6-7d164f0f823f,0.0,0.9400,DUPLICATE_EXACT,station n°1 Séfrou,station n°1 Séfrou,Sidi Youssef Ben Ahmed,Sidi Youssef Ben Ahmed,STM,infra.stm,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,c2d61db0-cf2c-4455-9c0b-d9e859d38d53,7dde52bc-78ac-4333-8daf-499e45413ef4,infra.stm,be8cc633-f3a7-4aba-9c2c-efe9a9a23297,ffd7bdf0-aa00-4a51-a5a3-37a3c907c353,0.0,0.9400,DUPLICATE_EXACT,Ouezzane,Ouezzane,Bni Quolla,Bni Quolla,STM,infra.stm,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,3dbe9ca3-2c15-46fc-863a-aebc1795d5f5,af0e3870-1500-411e-a6f2-7d495a5d14d9,infra.stm,bbfa94ee-6bef-49a9-8e0a-17cf13cf80aa,f5b57d85-9d0a-4e41-81c1-127aed89dc64,0.0,0.9400,DUPLICATE_EXACT,Oulad Mimoun,Oulad Mimoun,Louadaine,Louadaine,STM,infra.stm,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,29baa14e-bebb-44a1-ac52-edc5f3aa47f1,c1634295-534d-4caa-a9a0-eaa36370ae9d,infra.stm,f76c2101-b6ff-4989-98c9-3da443c618e1,8734f34c-4617-4ff0-9e50-d8e0cc010feb,0.0,0.9400,DUPLICATE_EXACT,Oulad Jamee,Oulad Jamee,Ain Bou Ali,Ain Bou Ali,STM,infra.stm,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,18c967ff-ece4-4c46-9e16-779ff4b96393,bee03935-d097-48a4-9384-5cbe36da79a7,infra.stm,394685c0-7d72-4eae-8be4-e72c216c5448,fe47d920-efda-4458-bacd-95845ac46a44,0.0,0.9400,DUPLICATE_EXACT,M'Haya,M'Haya,M'haya,M'haya,STM,infra.stm,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,6cb3015b-2178-475e-ba37-eb551a595e75,ab0f6121-2ce7-4e1e-8bff-25c929291243,infra.stm,2934cc9a-2398-4e6e-8b5a-18f77788bb34,e361f6a3-b9d2-499b-9072-cdeabef2ae46,0.0,0.9400,DUPLICATE_EXACT,MRhassiyine,MRhassiyine,MRhassiyine,MRhassiyine,STM,infra.stm,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,6193eafe-7905-4c82-8a8e-91a254c5db41,2bbc7f51-5513-4e36-bdff-b316da06d5e2,infra.stm,5d7190d6-85be-4560-a6e4-acf7a722cbfc,48760d6b-7ba1-459f-820b-2b5f1c3e753f,0.0,0.9400,DUPLICATE_EXACT,Ain Beida,Ain Beida,Ain Beida,Ain Beida,STM,infra.stm,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,0127c59f-c565-4a1b-9139-0cc69357ba09,5cf27040-0d0b-409a-bd23-607fa1bbd3d5,infra.step_industrielle,69b41f22-e32e-41e9-9171-1844e518b2b2,784ee5ff-7415-4ece-a424-4805eb50d4cd,0.0,0.7550,DUPLICATE_EXACT,,,Ain Cheggag,Ain Cheggag,STEP_INDUSTRIELLE,infra.step_industrielle,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=0.00; commune=1.00; priorite=3
e60088e9-cf94-4e41-ae65-a5390866b4b8,f0384a52-418e-4d05-b250-73b96b3f74c0,b7d89376-d73a-46ef-b415-bfa1f589f664,infra.step,20,19381dcf-e4b0-4d41-977f-169a57a304ec,0.0,0.5550,DUPLICATE_EXACT,,  MEK_PDOM1,,030610101,STEP,infra.step,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=0.00; commune=0.00; priorite=3
e60088e9-cf94-4e41-ae65-a5390866b4b8,425b71a8-176c-46c3-ad9b-8d2defd7e88b,487086c6-fd3e-44c4-ac03-2b5b7f7d66a2,infra.step,16,f9f7182d-6878-479a-887f-1b3401f0be36,0.0,0.5550,DUPLICATE_EXACT,,ATJ_DOM1,,031710507,STEP,infra.step,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=0.00; commune=0.00; priorite=3
