run_id,review_id,candidate_id,source_layer,source_id,master_site_id,distance_m,score,conflict_type,source_name,master_site_name,commune_source,commune_master,source_type_source,source_type_master,recommended_decision,review_priority,review_status,reason
e60088e9-cf94-4e41-ae65-a5390866b4b8,65713d00-d9c0-4533-8972-810abd83d4cf,4762e024-ece4-4cd0-ab7f-3ce171c7b537,infra.decharge_inventaire_pollution_general,6fbe8082-977d-4bef-9bb8-371c13dbe95d,3575641a-ce7f-46a4-9f68-b3c62893694d,0.0,0.9250,DUPLICATE_EXACT,hab lamlouk,hab lamlouk,Tamorot,Tamorot,DECHARGE,infra.decharge_inventaire_pollution_general,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=5
e60088e9-cf94-4e41-ae65-a5390866b4b8,2abc0009-8741-43be-b522-7d3009a5887e,733304f7-6e2b-4478-bbcd-dfd9c680aec0,infra.decharge_inventaire_pollution_general,b8312531-52ae-491d-af94-bee175953cd1,a3f5445e-12c1-45dd-82a9-6de1f1064f16,0.0,0.9250,DUPLICATE_EXACT,sidi hjaj,sidi hjaj,Bni ahmed charqia,Bni ahmed charqia,DECHARGE,infra.decharge_inventaire_pollution_general,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=5
e60088e9-cf94-4e41-ae65-a5390866b4b8,9c948a14-aa82-4d07-898e-40261953985a,b674cf50-32c5-4cd6-b3ff-891c1434541a,infra.decharge_inventaire_pollution_general,2ac34899-119e-44c7-8859-a7dc8d4071af,463f4ec7-0b9d-4e98-bd64-dbde8d464176,0.0,0.9250,DUPLICATE_EXACT,Néant,Néant,M'kansa,M'kansa,DECHARGE,infra.decharge_inventaire_pollution_general,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=5
e60088e9-cf94-4e41-ae65-a5390866b4b8,0d110bec-5222-4e16-a93b-34801c9842ee,ac7753b8-a712-4bf0-9e0a-bf6c151d1477,infra.decharge_inventaire_pollution_general,b7d91ef7-5577-4840-b7aa-a6eae15da363,d30ea909-404a-4abb-9aff-6fd494c7a4e3,0.0,0.9250,DUPLICATE_EXACT,Néant,Néant,Teroual,Teroual,DECHARGE,infra.decharge_inventaire_pollution_general,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=5
e60088e9-cf94-4e41-ae65-a5390866b4b8,71cf8c35-9497-42ad-88fb-ad4b8e9d3cd5,29fcd30b-bb7c-4e5e-8774-bb04773f299c,infra.decharge_inventaire_pollution_general,63cdc6d8-d173-4c4f-9a2a-b437c18d8aa8,b2f46094-aab6-4881-9b83-a87e6d8f1c5f,0.0,0.9250,DUPLICATE_EXACT,Néant,Néant,Lamjaara,Lamjaara,DECHARGE,infra.decharge_inventaire_pollution_general,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=5
e60088e9-cf94-4e41-ae65-a5390866b4b8,3c52b72f-6801-40f7-9354-11685190f133,afa8e825-47da-4e53-aa8d-38792bbf4a77,infra.decharge_inventaire_pollution_general,cb0c1757-dd70-49ed-af11-baf4f3aa5aee,32127fa9-16a3-49ca-a2a4-3b84dbdd700c,0.0,0.9250,DUPLICATE_EXACT,Néant,Néant,Sidi Azzouz,Sidi Azzouz,DECHARGE,infra.decharge_inventaire_pollution_general,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=5
e60088e9-cf94-4e41-ae65-a5390866b4b8,30edd100-ce85-412a-92a8-2c1ed0e94043,8fff9170-589d-4d93-9740-a869544e9e70,infra.decharge_inventaire_pollution_general,e6d38cfa-d6af-4b59-9c99-871865fd64e0,f9ef742c-8e98-4096-838c-3ba08b4b017d,0.0,0.9250,DUPLICATE_EXACT,Néant,Néant,Sidi Allal Tazi,Sidi Allal Tazi,DECHARGE,infra.decharge_inventaire_pollution_general,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=5
e60088e9-cf94-4e41-ae65-a5390866b4b8,d8df13da-94cd-428e-8d7f-fc9190a583ed,2b2ec7ff-c3ca-4bd4-899f-a596f3d5c45e,infra.decharge_inventaire_pollution_general,af799467-55d4-4695-95d8-ec80b0938f63,16b49cda-2d14-4e9d-a149-e084cb2939cd,0.0,0.9250,DUPLICATE_EXACT,Néant,Néant,Nouirate,Nouirate,DECHARGE,infra.decharge_inventaire_pollution_general,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=5
e60088e9-cf94-4e41-ae65-a5390866b4b8,16df0a78-8172-4c48-ab19-eb392fb44959,504f0624-29e6-4b26-996b-0a66255a3848,infra.decharge_inventaire_pollution_general,4bb1ce09-9102-4264-b2bf-db6868e43629,62e2fa37-225b-41d0-8f9d-c989c6af5e17,0.0,0.9250,DUPLICATE_EXACT,Néant,Néant,Selfat,Selfat,DECHARGE,infra.decharge_inventaire_pollution_general,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=5
e60088e9-cf94-4e41-ae65-a5390866b4b8,c1c7c262-fbc8-46b3-ae50-4993ac9c3c11,42ab5827-e676-401a-942b-505bae3a36d2,infra.decharge_inventaire_pollution_general,9329e2e0-0958-4642-a92c-baac52b75909,9c8646de-e487-4803-bf96-1899ff6e977f,0.0,0.9250,DUPLICATE_EXACT,Néant,Néant,Al Haouafate,Al Haouafate,DECHARGE,infra.decharge_inventaire_pollution_general,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=1.00; priorite=5
