run_id,review_id,candidate_id,source_layer,source_id,master_site_id,distance_m,score,conflict_type,source_name,master_site_name,commune_source,commune_master,source_type_source,source_type_master,recommended_decision,review_priority,review_status,reason
e60088e9-cf94-4e41-ae65-a5390866b4b8,24f05028-55f1-4517-a007-e5e3a4318d8f,de894a7a-4fef-4bc1-9103-5942c78fb700,infra.huilerie,232,7ee523af-0aae-4564-842b-a9c81297fa26,0.0,0.7400,DUPLICATE_EXACT,Huilerie Slass,Huilerie Slass,,Ourtzagh,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,a5d5cc42-0d34-4955-8d68-4c5dff937aa3,191ba27b-3c3c-4dcb-8aa8-cd8ae85d8138,infra.huilerie,247,556a2987-2b05-4255-a48d-a0d151351f7b,0.0,0.7400,DUPLICATE_EXACT,Huilerie De Bouarous ,Huilerie De Bouarous,,Bouarous,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,c3eddb26-492e-4907-8dde-084c4a9e4c7a,b683bc98-a9a7-47ad-bdcd-0898a31857f1,infra.huilerie,248,862c4d52-ff12-47be-9458-858e5bbbdaa9,0.0,0.7400,DUPLICATE_EXACT,Huilerie Khribech ,Huilerie Khribech,,Outa Bouabane,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,923296f9-6ab9-4e48-abaa-af19e7c763b6,cb2eb177-67fa-4b0e-9ea7-02af49e90f9a,infra.huilerie,249,6f694f34-518c-430e-aed1-bd3ad9e4740b,0.0,0.7400,DUPLICATE_EXACT,Huilerie Karam,Huilerie Karam,,Outa Bouabane,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,99f6dea7-0d8d-4d04-91e3-57241d45f5cb,6f483870-c83e-44b6-a8d8-c6e2535f72f7,infra.huilerie,151,22505cfd-7527-40c2-9e6c-80b6a5e87b59,0.0,0.7400,DUPLICATE_EXACT,Huilerie My BOUCHETTA,Huilerie My BOUCHETTA,,My Boucheta,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,0d4d7542-6575-4445-9ff9-6bf499381565,7c3df4d1-1dee-4279-9c69-b2c75a1b886f,infra.huilerie,152,6e51bd3e-fbb1-457f-892a-d119a1fd8138,0.0,0.7400,DUPLICATE_EXACT,Huilerie CHAJARA MOUBARAKA,Huilerie CHAJARA MOUBARAKA,,My Boucheta,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,5f1342ab-5076-4161-9413-7ebab8be88f1,feb153a5-00be-4918-a431-945c34228931,infra.huilerie,153,de1129c8-8664-4dc5-a554-f5bb241088dc,0.0,0.7400,DUPLICATE_EXACT,Huilerie Driss HAMMIOUI,Huilerie Driss HAMMIOUI,,My Boucheta,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,afc2bb0e-786e-47d3-8be4-08544f140083,cfff6cf3-2941-4c96-bc2c-23f4917516ea,infra.huilerie,154,8fe08318-c64c-400c-9887-16a50f4bc814,0.0,0.7400,DUPLICATE_EXACT,Huilerie Ayachi BOUARFA,Huilerie Ayachi BOUARFA,,My Boucheta,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,86b45849-ecf6-4449-b4b0-2d7390dcad6e,ce13ec3f-5da7-45ea-a064-d5dfd51022b9,infra.huilerie,273,136aa6b2-a8dc-4ea0-9129-0c72420ff2ab,0.0,0.7400,DUPLICATE_EXACT,Gie Alwahda Ghafsai  ,Gie Alwahda Ghafsai,,Galaz,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,68aea332-9d0b-4ca5-9774-c6019258e987,baddd464-18b6-4c74-9ba5-f1b8c6928c60,infra.huilerie,280,afd62c71-d808-47f6-8b4e-a3a59e5c36fb,0.0,0.7400,DUPLICATE_EXACT,Huilerie Taounate,Huilerie Taounate,,Bouhouda,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,e591e5e9-a51b-4a13-a199-9eb2c33209a4,09c97035-110f-4c11-aed2-b2befd74c6c3,infra.huilerie,281,bc1e20c4-a266-4ddd-88cb-611aedd39087,0.0,0.7400,DUPLICATE_EXACT,Société Maghnaoui,Société Maghnaoui,,Bouhouda,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,13741382-fe44-443c-8e6b-eac00783ca4b,a5cdfb72-dfbd-42c7-8392-3635ba786fd2,infra.huilerie,282,657aea9c-73bd-44ca-9d04-0b0bc552e0e8,0.0,0.7400,DUPLICATE_EXACT,Société AHMIROU,Société AHMIROU,,Bouhouda,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
