base,schema,table,type_table,mode_detection,parametre_observe,parametre_normalise_auto,colonne_parametre,colonne_valeur,unite_detectee,volume_lignes,volume_valeurs_non_nulles,nb_valeurs_nulles,nb_valeurs_negatives,nb_valeurs_non_numeriques,min_valeur,max_valeur,premiere_date,derniere_date,exemple_valeur_1,exemple_valeur_2,exemple_valeur_3,source_origine,commentaire_auto
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,NH4,nh4,parametre_qualite,valeur,à confirmer,1953,1953,0,0,0,0,30600,1988-10-05 00:00:00+00,2024-11-28 00:00:00+00,0,0.002,0.0027,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,CF,cf,parametre_qualite,valeur,à confirmer,1953,1953,0,1,0,-0.4,120000000,1988-09-20 00:00:00+00,2024-11-28 00:00:00+00,-0.4,0,0.0015,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,DCO,dco,parametre_qualite,valeur,à confirmer,1932,1932,0,0,0,0,1920,1988-09-20 00:00:00+00,2024-11-27 00:00:00+00,0,1.049,1.27,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,NO3-,no3-,parametre_qualite,valeur,à confirmer,1930,1930,0,0,0,0,15300,1988-10-05 00:00:00+00,2024-11-19 00:00:00+00,0,0.0004,0.01,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,PO4 3-,po4 3-,parametre_qualite,valeur,à confirmer,1891,1891,0,0,0,0,156.953,1988-10-05 00:00:00+00,2024-11-28 00:00:00+00,0,0.001,0.002,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Cl,cl,parametre_qualite,valeur,à confirmer,1889,1889,0,0,0,0.463,16495,1988-10-05 00:00:00+00,2024-11-15 00:00:00+00,0.463,1,1.8,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,SF,sf,parametre_qualite,valeur,à confirmer,1879,1879,0,0,0,0,100000000,1988-09-20 00:00:00+00,2024-11-28 00:00:00+00,0,0.03,1,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Turbidite,turbidite,parametre_qualite,valeur,à confirmer,1822,1822,0,0,0,0.5,158564,1988-10-06 00:00:00+00,2024-11-28 00:00:00+00,0.5,0.74,0.9,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,HCO3-,hco3-,parametre_qualite,valeur,à confirmer,1799,1799,0,0,0,0,1561,1988-10-05 00:00:00+00,2024-11-26 00:00:00+00,0,1.9,100,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,NO2-,no2-,parametre_qualite,valeur,à confirmer,1791,1791,0,0,0,0,338.267,1988-10-05 00:00:00+00,2024-11-28 00:00:00+00,0,0.001,0.0013,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,NA,na,parametre_qualite,valeur,à confirmer,1790,1790,0,0,0,0.8,9300,1988-09-20 00:00:00+00,2024-11-26 00:00:00+00,0.8,1.37,1.59,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,K,k,parametre_qualite,valeur,à confirmer,1789,1789,0,0,0,0.11,501,1988-09-20 00:00:00+00,2024-11-26 00:00:00+00,0.11,0.17,0.268,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,SO4,so4,parametre_qualite,valeur,à confirmer,1788,1788,0,0,0,0,17251,1988-10-05 00:00:00+00,2024-11-15 00:00:00+00,0,0.085,0.329,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Mg,mg,parametre_qualite,valeur,à confirmer,1783,1783,0,0,0,0.36,1043,1988-10-05 00:00:00+00,2024-11-20 00:00:00+00,0.36,10,10.2,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,CT,ct,parametre_qualite,valeur,à confirmer,1756,1756,0,0,0,0,1300000000,1988-09-20 00:00:00+00,2024-11-28 00:00:00+00,0,0.00014,1.7,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Ca,ca,parametre_qualite,valeur,à confirmer,1741,1741,0,0,0,7.62,1912,1989-03-23 00:00:00+00,2024-11-20 00:00:00+00,100,100.2,100.5,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,CO3,co3,parametre_qualite,valeur,à confirmer,1715,1715,0,0,0,0,488,1991-12-26 00:00:00+00,2024-11-26 00:00:00+00,0,0.0013,0.1,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Azote_tot_kjeldhal,azote tot kjeldhal,parametre_qualite,valeur,à confirmer,1580,1580,0,0,0,0,1309,1988-09-22 00:00:00+00,2011-10-29 00:00:00+00,0,0.01,0.013,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,TAC,tac,parametre_qualite,valeur,à confirmer,1103,1103,0,0,0,2.6,105105.5,1994-05-24 00:00:00+00,2024-11-26 00:00:00+00,10.2,10.3,10.4,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,TA,ta,parametre_qualite,valeur,à confirmer,1100,1100,0,0,0,0,2114.982,1994-05-24 00:00:00+00,2024-11-26 00:00:00+00,0,0.15,0.2,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,sat,sat,parametre_qualite,valeur,à confirmer,1074,1074,0,0,0,0,930,1988-09-20 00:00:00+00,2017-09-27 00:00:00+00,0,0.06,0.5,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,TH,th,parametre_qualite,valeur,à confirmer,806,806,0,0,0,0,19105.9,1992-03-16 00:00:00+00,2024-11-20 00:00:00+00,0,100.1,105.89941,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Ph�nol,phnol,parametre_qualite,valeur,à confirmer,682,682,0,0,0,0,50.025,1990-01-31 00:00:00+00,2024-11-25 00:00:00+00,0,0.001,0.002,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,HCT,hct,parametre_qualite,valeur,à confirmer,490,490,0,0,0,0,212.47,1994-05-17 00:00:00+00,2018-09-26 00:00:00+00,0,0.0015,0.0033,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Pb,pb,parametre_qualite,valeur,à confirmer,436,436,0,0,0,0,125,1990-01-31 00:00:00+00,2024-11-15 00:00:00+00,0,0.0001,0.0005,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Se,se,parametre_qualite,valeur,à confirmer,434,434,0,0,0,0,50.03,1990-01-31 00:00:00+00,2024-11-15 00:00:00+00,0,0.0005,0.001,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,FeT,fet,parametre_qualite,valeur,à confirmer,417,417,0,0,0,0,4452,1994-07-06 00:00:00+00,2024-11-22 00:00:00+00,0,0.0041,0.0196,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,CrT,crt,parametre_qualite,valeur,à confirmer,389,389,0,0,0,0,101,1990-01-31 00:00:00+00,2024-11-15 00:00:00+00,0,0.0004,0.0011,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Azote_Total,azote total,parametre_qualite,valeur,à confirmer,358,358,0,0,0,0.077,141,2002-07-28 00:00:00+00,2024-11-25 00:00:00+00,0.077,0.105,0.11,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Fe,fe,parametre_qualite,valeur,à confirmer,300,300,0,0,0,0,3484,1988-10-05 00:00:00+00,2016-08-19 00:00:00+00,0,0.001,0.02,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Cd,cd,parametre_qualite,valeur,à confirmer,274,274,0,0,0,0,5.04,1990-02-07 00:00:00+00,2024-11-15 00:00:00+00,0,0.0001,0.0002,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Cu,cu,parametre_qualite,valeur,à confirmer,272,272,0,0,0,0,50,1990-01-31 00:00:00+00,2024-11-15 00:00:00+00,0,0.001,0.0016,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Ni,ni,parametre_qualite,valeur,à confirmer,269,269,0,0,0,0,90,1990-08-01 00:00:00+00,2024-11-15 00:00:00+00,0,0.001,0.0011,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,As,as,parametre_qualite,valeur,à confirmer,240,240,0,0,0,0,25,1993-03-09 00:00:00+00,2024-11-15 00:00:00+00,0,0.002,0.0021,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Zn,zn,parametre_qualite,valeur,à confirmer,233,233,0,0,0,0,60,1990-01-31 00:00:00+00,2024-11-15 00:00:00+00,0,0.003,0.005,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Hg,hg,parametre_qualite,valeur,à confirmer,227,227,0,0,0,0,0.695,1990-01-31 00:00:00+00,2024-06-07 00:00:00+00,0,0.0001,0.00013,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Largeur,largeur,parametre_qualite,valeur,à confirmer,191,191,0,0,0,0,60,1994-07-06 00:00:00+00,2005-10-13 00:00:00+00,0,0.2,0.3,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Detergent,detergent,parametre_qualite,valeur,à confirmer,189,189,0,0,0,0,18.8,1990-01-31 00:00:00+00,1998-06-26 00:00:00+00,0,0.007,0.01,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Chla,chla,parametre_qualite,valeur,à confirmer,180,180,0,0,0,0,67.6,1988-10-06 00:00:00+00,2024-11-20 00:00:00+00,0,0.0005,0.0008,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Debit,debit,parametre_qualite,valeur,à confirmer,162,162,0,0,0,0.046,4400000,1988-09-22 00:00:00+00,2002-02-01 00:00:00+00,0.046,0.053,0.055,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,H_G,h g,parametre_qualite,valeur,à confirmer,153,153,0,0,0,0,44.1,1991-09-13 00:00:00+00,2024-11-25 00:00:00+00,0,0.0001,0.0002,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,SiO3,sio3,parametre_qualite,valeur,à confirmer,150,150,0,0,0,0,27.85,1993-03-09 00:00:00+00,2003-11-20 00:00:00+00,0,0.57,0.62,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Mn,mn,parametre_qualite,valeur,à confirmer,136,136,0,0,0,0,450,1988-10-05 00:00:00+00,2020-07-06 00:00:00+00,0,0.004,0.01,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,IBD,ibd,parametre_qualite,valeur,à confirmer,128,128,0,0,0,0,16.652,2003-05-27 00:00:00+00,2009-10-28 00:00:00+00,0,10.031,10.052,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,CN,cn,parametre_qualite,valeur,à confirmer,124,124,0,0,0,0,25,1990-02-05 00:00:00+00,1997-06-28 00:00:00+00,0,0.0001,0.0003,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Co,co,parametre_qualite,valeur,à confirmer,110,110,0,0,0,0,19,1994-07-06 00:00:00+00,2024-11-15 00:00:00+00,0,0.0014,0.0025,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Profondeur,profondeur,parametre_qualite,valeur,à confirmer,108,108,0,0,0,0,80,1994-07-06 00:00:00+00,2005-10-13 00:00:00+00,0,0.1,0.15,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Disque_secchi,disque secchi,parametre_qualite,valeur,à confirmer,87,87,0,0,0,0,58.5,1989-03-23 00:00:00+00,2024-11-28 00:00:00+00,0,0.01,0.03,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Eh,eh,parametre_qualite,valeur,à confirmer,86,86,0,0,0,0,396,1990-02-05 00:00:00+00,2009-10-22 00:00:00+00,0,101.5,104,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,DCO_dec2h,dco dec2h,parametre_qualite,valeur,à confirmer,57,57,0,0,0,0,429,1990-01-31 00:00:00+00,2019-04-07 00:00:00+00,0,10,102,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,F,f,parametre_qualite,valeur,à confirmer,56,56,0,0,0,0,574,1993-03-09 00:00:00+00,1996-03-15 00:00:00+00,0,0.02,0.05,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Cr,cr,parametre_qualite,valeur,à confirmer,54,54,0,0,0,0,200,1988-10-05 00:00:00+00,1997-01-21 00:00:00+00,0,0.001,0.002,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Al,al,parametre_qualite,valeur,à confirmer,54,54,0,0,0,0.0034,73.67,1991-08-19 00:00:00+00,2003-11-20 00:00:00+00,0.0034,0.012,0.0207,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,PTD,ptd,parametre_qualite,valeur,à confirmer,48,48,0,0,0,13,29.8,2009-03-12 00:00:00+00,2009-10-28 00:00:00+00,13,13.7,16.1,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,PTP,ptp,parametre_qualite,valeur,à confirmer,48,48,0,0,0,13,29.8,2009-03-12 00:00:00+00,2009-10-28 00:00:00+00,13,13.7,16.1,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,IBGN,ibgn,parametre_qualite,valeur,à confirmer,43,43,0,0,0,1,16,2009-03-12 00:00:00+00,2009-10-28 00:00:00+00,1,10,11,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,RS105,rs105,parametre_qualite,valeur,à confirmer,39,39,0,0,0,0,1988,1990-01-24 00:00:00+00,2009-10-22 00:00:00+00,0,1074,1110,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,MO,mo,parametre_qualite,valeur,à confirmer,26,26,0,0,0,0,246,1990-08-15 00:00:00+00,2009-10-22 00:00:00+00,0,2.6,246,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,DBO5_dec2h,dbo5 dec2h,parametre_qualite,valeur,à confirmer,24,24,0,0,0,0,204,1990-01-31 00:00:00+00,2009-10-22 00:00:00+00,0,0.95,1,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Ba,ba,parametre_qualite,valeur,à confirmer,18,18,0,0,0,0,2.2,1996-02-13 00:00:00+00,2019-04-15 00:00:00+00,0,0.0013,0.0085,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Pheopigment,pheopigment,parametre_qualite,valeur,à confirmer,17,17,0,0,0,0,4.14,1995-02-09 00:00:00+00,1997-06-17 00:00:00+00,0,0.0001,0.0006,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Li,li,parametre_qualite,valeur,à confirmer,16,16,0,0,0,0.01,3,1994-07-06 00:00:00+00,2003-11-20 00:00:00+00,0.01,0.012,0.014,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Ag,ag,parametre_qualite,valeur,à confirmer,9,9,0,0,0,0.01,19,1994-07-06 00:00:00+00,2019-09-30 00:00:00+00,0.01,0.03,19,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,F_M_mes,f m mes,parametre_qualite,valeur,à confirmer,7,7,0,0,0,0,301,1994-07-06 00:00:00+00,2002-07-02 00:00:00+00,0,0.759,12.4,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,S,s,parametre_qualite,valeur,à confirmer,4,4,0,0,0,0,0.96,1990-02-14 00:00:00+00,1999-06-02 00:00:00+00,0,0.02,0.032,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Germe_tt_22,germe tt 22,parametre_qualite,valeur,à confirmer,4,4,0,0,0,0,3400,1994-07-06 00:00:00+00,2009-10-22 00:00:00+00,0,3,3400,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,SO3,so3,parametre_qualite,valeur,à confirmer,3,3,0,0,0,0,0.54,1990-02-14 00:00:00+00,1994-07-11 00:00:00+00,0,0.54,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Sb,sb,parametre_qualite,valeur,à confirmer,3,3,0,0,0,0,0.076,1994-07-06 00:00:00+00,2003-10-02 00:00:00+00,0,0.076,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,FM,fm,parametre_qualite,valeur,à confirmer,3,3,0,0,0,12.4,298.6,1994-09-21 00:00:00+00,1996-12-27 00:00:00+00,12.4,298.6,37,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Chl,chl,parametre_qualite,valeur,à confirmer,2,2,0,0,0,0,0,1994-10-06 00:00:00+00,1994-10-17 00:00:00+00,0,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Carbone_org,carbone org,parametre_qualite,valeur,à confirmer,2,2,0,0,0,0,0,1994-07-06 00:00:00+00,1994-07-11 00:00:00+00,0,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,MD,md,parametre_qualite,valeur,à confirmer,2,2,0,0,0,0,0,1994-07-06 00:00:00+00,1994-07-11 00:00:00+00,0,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Germe_tt_37,germe tt 37,parametre_qualite,valeur,à confirmer,2,2,0,0,0,0,0,1994-07-06 00:00:00+00,1994-07-11 00:00:00+00,0,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,H2S,h2s,parametre_qualite,valeur,à confirmer,2,2,0,0,0,0,0,1994-07-06 00:00:00+00,1994-07-11 00:00:00+00,0,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,HCO,hco,parametre_qualite,valeur,à confirmer,2,2,0,0,0,195,366,1996-01-16 00:00:00+00,1996-06-13 00:00:00+00,195,366,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,S2,s2,parametre_qualite,valeur,à confirmer,2,2,0,0,0,0,0.306,2005-07-28 00:00:00+00,2009-10-22 00:00:00+00,0,0.306,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Pseudo_aer,pseudo aer,parametre_qualite,valeur,à confirmer,2,2,0,0,0,0,0,1994-07-06 00:00:00+00,1994-07-11 00:00:00+00,0,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Couleur,couleur,parametre_qualite,valeur,à confirmer,2,2,0,0,0,0.02,0.025,1992-05-25 00:00:00+00,1992-06-03 00:00:00+00,0.02,0.025,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Detergent_non_ionique,detergent non ionique,parametre_qualite,valeur,à confirmer,2,2,0,0,0,0,0,1994-07-06 00:00:00+00,1994-07-11 00:00:00+00,0,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Azote_Org,azote org,parametre_qualite,valeur,à confirmer,2,2,0,0,0,0,0,1994-07-06 00:00:00+00,1994-07-11 00:00:00+00,0,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Clostri_sul_redu,clostri sul redu,parametre_qualite,valeur,à confirmer,2,2,0,0,0,0,0,1994-07-06 00:00:00+00,1994-07-11 00:00:00+00,0,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,RS185,rs185,parametre_qualite,valeur,à confirmer,2,2,0,0,0,0,0,1994-07-06 00:00:00+00,1994-07-11 00:00:00+00,0,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,CO2_libre,co2 libre,parametre_qualite,valeur,à confirmer,2,2,0,0,0,0,0,1994-07-06 00:00:00+00,1994-07-11 00:00:00+00,0,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Cl2_res,cl2 res,parametre_qualite,valeur,à confirmer,2,2,0,0,0,0,0,1994-07-06 00:00:00+00,1994-07-11 00:00:00+00,0,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,PO3,po3,parametre_qualite,valeur,à confirmer,1,1,0,0,0,0.13,0.13,1993-03-11 00:00:00+00,1993-03-11 00:00:00+00,0.13,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Odeur,odeur,parametre_qualite,valeur,à confirmer,1,1,0,0,0,2,2,1994-05-17 00:00:00+00,1994-05-17 00:00:00+00,2,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Saveur,saveur,parametre_qualite,valeur,à confirmer,1,1,0,0,0,13,13,1994-05-17 00:00:00+00,1994-05-17 00:00:00+00,13,,,db,
abh_sad,qualite,mesure_qualite_riviere,qualité,colonne_parametre,Vibrion_Cholerique,vibrion cholerique,parametre_qualite,valeur,à confirmer,1,1,0,0,0,3400,3400,2009-10-22 00:00:00+00,2009-10-22 00:00:00+00,3400,,,db,
abh_sad,qualite,mesure_qualite_sebou,qualité,colonne_parametre,Conductivité,conductivite,parametre_qualite,valeur,à confirmer,3954,3915,39,0,0,0,8090,2023-12-07 00:00:00+00,2025-09-25 00:00:00+00,0,1000,1001,db,
abh_sad,qualite,mesure_qualite_sebou,qualité,colonne_parametre,Turbidité,turbidite,parametre_qualite,valeur,à confirmer,3954,3407,547,0,0,0,1000,2023-12-07 00:00:00+00,2025-09-25 00:00:00+00,0,10,10.2,db,
abh_sad,qualite,mesure_qualite_sebou,qualité,colonne_parametre,Nitrates,nitrates,parametre_qualite,valeur,à confirmer,3954,3907,47,0,0,0,74.9,2023-12-07 00:00:00+00,2025-09-25 00:00:00+00,0,0.248,0.3,db,
abh_sad,qualite,mesure_qualite_sebou,qualité,colonne_parametre,pH,ph,parametre_qualite,valeur,à confirmer,3954,3915,39,0,0,0,9.24,2023-12-07 00:00:00+00,2025-09-25 00:00:00+00,0,7,7.05,db,
abh_sad,qualite,mesure_qualite_sebou,qualité,colonne_parametre,T_air,t air,parametre_qualite,valeur,à confirmer,3954,2802,1152,0,0,9,50,2023-12-07 00:00:00+00,2025-09-25 00:00:00+00,10,11,12,db,
abh_sad,qualite,mesure_qualite_sebou,qualité,colonne_parametre,NTK,ntk,parametre_qualite,valeur,à confirmer,3954,3901,53,0,0,0,271.6,2023-12-07 00:00:00+00,2025-09-25 00:00:00+00,0,0.228,0.232,db,
abh_sad,qualite,mesure_qualite_sebou,qualité,colonne_parametre,Ammonium,ammonium,parametre_qualite,valeur,à confirmer,3954,3913,41,0,0,0,58.6,2023-12-07 00:00:00+00,2025-09-25 00:00:00+00,0,0.02,0.020571428571428574,db,
abh_sad,qualite,mesure_qualite_sebou,qualité,colonne_parametre,H_G,h g,parametre_qualite,valeur,à confirmer,3954,3904,50,0,0,0,377,2023-12-07 00:00:00+00,2025-09-25 00:00:00+00,0,0.0402,0.377,db,
abh_sad,qualite,mesure_qualite_sebou,qualité,colonne_parametre,Phenol,phenol,parametre_qualite,valeur,à confirmer,3954,3907,47,0,0,0,0.026,2023-12-07 00:00:00+00,2025-09-25 00:00:00+00,0,0.01,0.011,db,
abh_sad,qualite,mesure_qualite_sebou,qualité,colonne_parametre,T_eau,t eau,parametre_qualite,valeur,à confirmer,3954,3915,39,0,0,0,35.8,2023-12-07 00:00:00+00,2025-09-25 00:00:00+00,0,10.1,10.2,db,
abh_sad,qualite,mesure_qualite_sebou,qualité,colonne_parametre,DBO5,dbo5,parametre_qualite,valeur,à confirmer,3954,168,3786,0,0,0,36.1,2023-12-07 00:00:00+00,2025-09-25 00:00:00+00,0,0.278,0.6030000000000009,db,
abh_sad,qualite,mesure_qualite_sebou,qualité,colonne_parametre,DCO,dco,parametre_qualite,valeur,à confirmer,3954,188,3766,0,0,0,209,2023-12-07 00:00:00+00,2025-09-25 00:00:00+00,0,106,109.44000000000005,db,
abh_sad,qualite,mesure_qualite_sebou,qualité,colonne_parametre,O2_dissous,o2 dissous,parametre_qualite,valeur,à confirmer,3954,3915,39,0,0,0,13.3,2023-12-07 00:00:00+00,2025-09-25 00:00:00+00,0,0.15,0.25,db,
abh_sad,qualite,source_pollution_prelevement,qualité,colonne_large,point_prelevement,point prelevement,,point_prelevement,à confirmer,141,141,0,0,141,,,2024-09-13,2025-12-16,AAZ_DOM1_R1,ACH_PDS_R1,ACH_PDS_R5,db,
abh_sad,qualite,source_pollution_prelevement,qualité,colonne_large,debit_raw,debit raw,,debit_raw,à confirmer,141,141,0,0,141,,,2024-09-13,2025-12-16,-,"13,0l/s",13.2l/s,db,
abh_sad,qualite,suivi_qualite_barrage_garde_hebdo,qualité,colonne_parametre,PO43-(mgP/l),po43-(mgp/l),parametre_qualite,valeur,à confirmer,182,182,0,0,0,0.02,0.32,2023-01-03 00:00:00+00,2025-09-22 00:00:00+00,0.02,0.021,0.022,db,
abh_sad,qualite,suivi_qualite_barrage_garde_hebdo,qualité,colonne_parametre,MEST(mg/l),mest(mg/l),parametre_qualite,valeur,mg/l,182,182,0,0,0,6.8,47431,2023-01-03 00:00:00+00,2025-09-22 00:00:00+00,10.1,10.3,10.4,db,
abh_sad,qualite,suivi_qualite_barrage_garde_hebdo,qualité,colonne_parametre,Chl.A(µg/l),chl.a(g/l),parametre_qualite,valeur,à confirmer,182,180,2,0,0,0.1,68.4,2023-01-03 00:00:00+00,2025-09-22 00:00:00+00,0.1,1.08,1.35,db,
abh_sad,qualite,suivi_qualite_barrage_garde_hebdo,qualité,colonne_parametre,Indicedephénol(mg/l),indicedephenol(mg/l),parametre_qualite,valeur,mg/l,182,182,0,0,0,0.01,0.2,2023-01-03 00:00:00+00,2025-09-22 00:00:00+00,0.01,0.011,0.012,db,
abh_sad,qualite,suivi_qualite_barrage_garde_hebdo,qualité,colonne_parametre,PT(mgP/l),pt(mgp/l),parametre_qualite,valeur,à confirmer,182,178,4,0,0,0.05,0.691,2023-01-03 00:00:00+00,2025-09-22 00:00:00+00,0.05,0.051,0.053,db,
abh_sad,qualite,suivi_qualite_barrage_garde_hebdo,qualité,colonne_parametre,pH,ph,parametre_qualite,valeur,à confirmer,182,182,0,0,0,7.3,8.8,2023-01-03 00:00:00+00,2025-09-22 00:00:00+00,7.3,7.5,7.6,db,
abh_sad,qualite,suivi_qualite_barrage_garde_hebdo,qualité,colonne_parametre,IP(mgO2/l),ip(mgo2/l),parametre_qualite,valeur,à confirmer,182,88,94,0,0,0.80334728,3.49,2023-01-03 00:00:00+00,2025-09-22 00:00:00+00,0.80334728,0.856,1.316872428,db,
abh_sad,qualite,suivi_qualite_barrage_garde_hebdo,qualité,colonne_parametre,Nickel(mg)/l,nickel(mg)/l,parametre_qualite,valeur,à confirmer,182,22,160,0,0,0.01,0.01,2023-01-03 00:00:00+00,2025-09-22 00:00:00+00,0.01,,,db,
abh_sad,qualite,suivi_qualite_barrage_garde_hebdo,qualité,colonne_parametre,T_eau,t eau,parametre_qualite,valeur,à confirmer,182,182,0,0,0,12.6,31.5,2023-01-03 00:00:00+00,2025-09-22 00:00:00+00,12.6,12.7,12.8,db,
abh_sad,qualite,suivi_qualite_barrage_garde_hebdo,qualité,colonne_parametre,Litium(mg/l),litium(mg/l),parametre_qualite,valeur,mg/l,182,22,160,0,0,0.0069,0.0643,2023-01-03 00:00:00+00,2025-09-22 00:00:00+00,0.0069,0.0086,0.0117,db,
