base,schema,table,type_table,mode_detection,parametre_observe,parametre_normalise_auto,colonne_parametre,colonne_valeur,unite_detectee,volume_lignes,volume_valeurs_non_nulles,nb_valeurs_nulles,nb_valeurs_negatives,nb_valeurs_non_numeriques,min_valeur,max_valeur,premiere_date,derniere_date,exemple_valeur_1,exemple_valeur_2,exemple_valeur_3,source_origine,commentaire_auto
abh_sad,infra,profil_station,pollution,colonne_large,coord_x,coord x,,coord_x,à confirmer,1980,1980,0,0,0,414109.15,631951.88,2026-04-03 11:54:32.342198+00,2026-04-03 11:54:32.342198+00,414109.15,414109.6,414111.25,db,
abh_sad,infra,profil_station,pollution,colonne_large,coord_y,coord y,,coord_y,à confirmer,1980,1980,0,0,0,285093.77,480909.5,2026-04-03 11:54:32.342198+00,2026-04-03 11:54:32.342198+00,285093.77,285119.29,285132.95,db,
abh_sad,infra,profil_station,pollution,colonne_large,altitude_z,altitude z,,altitude_z,à confirmer,1980,1939,41,0,0,8.07,1898.45,2026-04-03 11:54:32.342198+00,2026-04-03 11:54:32.342198+00,10.16,10.26,10.44,db,
abh_sad,infra,rejet_abattoir,pollution,colonne_large,coord_x,coord x,,coord_x,à confirmer,61,61,0,0,0,379171,633742,,,379171,415810,416908,db,
abh_sad,infra,rejet_abattoir,pollution,colonne_large,coord_y,coord y,,coord_y,à confirmer,61,61,0,0,0,309359,482802,,,309359,324856.52,338461,db,
abh_sad,infra,rejet_abattoir_inventaire_pollution,pollution,colonne_large,coord_x,coord x,,coord_x,à confirmer,56,56,0,0,0,0,633742,2026-04-03 14:04:29.856761+00,2026-04-03 14:04:29.856761+00,0,379171,415810,db,
abh_sad,infra,rejet_abattoir_inventaire_pollution,pollution,colonne_large,coord_y,coord y,,coord_y,à confirmer,56,56,0,0,0,0,482802,2026-04-03 14:04:29.856761+00,2026-04-03 14:04:29.856761+00,0,309359,324856.52,db,
abh_sad,infra,rejet_domestique,pollution,colonne_large,debit_l_s,debit l s,,debit_l_s,à confirmer,362,207,155,0,0,0,NaN,,,0,0.001,0.003,db,
abh_sad,infra,rejet_domestique,pollution,colonne_large,milieu_recepteur,milieu recepteur,,milieu_recepteur,à confirmer,362,278,84,0,278,,,,, Chaabat vers Oued Ifrane, Oued Beht,Ait Amer Ouali,db,
abh_sad,infra,rejet_domestique,pollution,colonne_large,reutilisation,reutilisation,,reutilisation,à confirmer,362,196,166,0,196,,,,,Agricole,irrigation,Irrigation,db,
abh_sad,infra,rejet_industriel,pollution,colonne_large,coord_x,coord x,,coord_x,à confirmer,11,11,0,0,0,383581,547879,,,383581,393129,409219.14,db,
abh_sad,infra,rejet_industriel,pollution,colonne_large,coord_y,coord y,,coord_y,à confirmer,11,11,0,0,0,382521,484949,,,382521,382609,382880,db,
abh_sad,infra,rejet_inventaire_pollution,pollution,colonne_large,debit_l_s,debit l s,,debit_l_s,à confirmer,277,277,0,0,0,0,50,2022-10-22,2024-12-14,0,0.001,0.003,db,
abh_sad,infra,rejet_inventaire_pollution,pollution,colonne_large,milieu_recepteur,milieu recepteur,,milieu_recepteur,à confirmer,277,277,0,0,277,,,2022-10-22,2024-12-14,Ait Amer Ouali,Ait Yahya Ouaalla,Caabat ait yahya,db,
abh_sad,infra,rejet_inventaire_pollution,pollution,colonne_large,reutilisation_raw,reutilisation raw,,reutilisation_raw,à confirmer,277,271,6,0,271,,,2022-10-22,2024-12-14,-,Agricole,irrigation,db,
abh_sad,infra,stations,pollution,colonne_large,ire_precipitation,ire precipitation,,ire_precipitation,à confirmer,390,48,342,0,48,,,,,1424/600,1496/600,1523/600,db,
abh_sad,infra,stations,pollution,colonne_large,types_mesures,types mesures,,types_mesures,à confirmer,390,389,1,0,389,,,,,"debit, qualite_barrage",precipitation,"precipitation, debit",db,
abh_sad,infra,stations_mesure,pollution,colonne_large,altitude_m,altitude m,,altitude_m,à confirmer,390,12,378,0,0,45.00,2078.00,,,1115.00,1478.00,180.00,db,
