review_id,review_bucket,source_layer,source_id,source_object_name,source_type,candidate_master_site_id,candidate_site_name,distance_m,match_score,issue_type,suggested_action,reviewer_decision,reviewer_comment,allowed_decisions
67c4630a-ff85-451c-9069-5aeff33e06d4,ORPHAN_REVIEW,infra.huilerie,16,Huilerie Aromane ,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
0873926f-d7eb-47db-9f59-0a7f4d9c8305,ORPHAN_REVIEW,infra.huilerie,20,Olivier El Hmaidii,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
47c4f386-b086-4337-8c14-a242eb9db51e,ORPHAN_REVIEW,infra.huilerie,237,Huilerie Quassemy Fréres,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
d68cdbbb-1fd6-4c85-845d-b10a0518a412,ORPHAN_REVIEW,infra.huilerie,238,Huilerie Jaouda,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
3bec9bf9-459d-4fad-9696-0bea6be16738,ORPHAN_REVIEW,infra.huilerie,257,Huilerie Ain jouari,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
da135d3c-19ce-4b8d-b593-4d981dbcc109,ORPHAN_REVIEW,infra.huilerie,261,Huilerie Tamidet,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
1503e43f-7aed-4e75-b740-ed3d40c4cebc,ORPHAN_REVIEW,infra.huilerie,262,Société Barakat allah,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
3e3b2eed-da59-4509-a6a3-db4bb7b4d5af,ORPHAN_REVIEW,infra.huilerie,263,Huilerie Serraf Ikhouan,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
37d756a6-5fa9-4193-894d-866a2a8aef2f,ORPHAN_REVIEW,infra.huilerie,314,Sté boulmakol,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
42e10973-1ea1-431c-8305-fc7566df8135,ORPHAN_REVIEW,infra.huilerie,317,Meknasa olive,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
a0192a23-22c6-43bc-a71e-95298528f2d1,ORPHAN_REVIEW,infra.huilerie,327,Barada fréro,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
