source_schema,source_table,source_column_parametre,source_column_valeur,parametre_source,parametre_source_normalise,parametre_standard_metier,code_parametre_canonique,mapping_status,mapping_confidence,unite_source,unite_source_resolue,unite_standard,statut_unite,conversion_regle,regle_parsing,qa_flags,scope_migration,volume_total,nb_non_numerique,exemples_valeurs,action_migration,commentaire_preparation
staging,raw_mesures_qualite_rivieres,parametre_qualite,val_qual_riv,Sb,sb,Sb,SB,MAPPED,0.95,à confirmer,mg/L,mg/L,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_MISSING | UNIT_ASSUMED,MESURE,3,0,valeur=0; date=1994-07-06; point=1508/9 || valeur=0; date=1994-07-11; point=3502/8 || valeur=0.076; date=2003-10-02; point=756/16,MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_idp_2024_mesures_qualite_marche_cadre,parametre_qualite,val_qual,Zinc,zinc,Zn,ZN,MAPPED,0.95,à confirmer,mg/L,mg/L,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_MISSING | NON_NUMERIC_PRESENT | UNIT_ASSUMED,MESURE,8,4,"valeur=<0,010; date=2025-10-08; point=STATION PONT MECHRAA BEL KSIRI || valeur=<0,010; date=2025-10-08; point=PONT KHENICHET || valeur=0,0154; date=2025-10-10; point=AMONT KENITRA",MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_mesures_qualite_nappes,parametre_qualite,val_qual_nap,Se,se,Se,SE,MAPPED,0.95,à confirmer,mg/L,mg/L,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_MISSING | UNIT_ASSUMED,MESURE,5,0,valeur=0.01; date=1991-03-22; point=1161/15 || valeur=0.007; date=1991-03-26; point=160/15 || valeur=0.05; date=1991-03-27; point=2881/15,MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_mesures_qualite_rivieres,parametre_qualite,val_qual_riv,Se,se,Se,SE,MAPPED,0.95,à confirmer,mg/L,mg/L,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_MISSING | UNIT_ASSUMED,MESURE,434,0,valeur=0.008; date=1990-01-31; point=2496/15 || valeur=0.006; date=1990-02-01; point=1359/8 || valeur=0.005; date=1990-02-05; point=3261/14,MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_idp_2024_mesures_qualite_globale,parametre_qualite,val_qual,MES,mes,MES,MES,MAPPED,0.95,mg/L,mg/L,mg/L,UNIT_OK,aucune,numeric_decimal_comma + filtre + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK | NON_NUMERIC_PRESENT,MESURE,163,3,"valeur=107; date=2024-09-13; point=S1 (Aval_conf_Rejet_MOG (Mograne) || valeur=16,1; date=2024-09-13; point=S2 (Barrage de garde) || valeur=50,4; date=2024-09-13; point=S3 (Station Pompage Ferme (Amont Bge de garde)",MIGRER_AVEC_FLAG,
staging,raw_suivi_qualite_brg_garde_hebdo,parametre_qualite,val_qual_brg_garde_hebdo,Sélénium(mg/l),selenium_mg_l,Se,SE,MAPPED,0.95,mg/l,mg/L,mg/L,UNIT_OK,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK,MESURE,182,0,valeur=0.005; date=2024-11-20; point=n/a || valeur=0.005; date=2024-12-11; point=n/a || valeur=0.005; date=2025-01-08; point=n/a,MIGRER,
staging,raw_idp_2024_mesures_qualite_marche_cadre,parametre_qualite,val_qual,Mn,mn,Mn,MN,MAPPED,0.95,mg/L,mg/L,mg/L,UNIT_OK,aucune,numeric_decimal_comma + forme_chimique_si_detectable + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | FORME_CHIMIQUE_OPTIONNELLE | UNIT_OK | NON_NUMERIC_PRESENT,MESURE,2,2,"valeur=<0,050; date=2025-10-06; point=DAYAT FOUARATE || valeur=<0,050; date=2025-10-06; point=DAYAT SIDI BOUGHABA",MIGRER_AVEC_FLAG,
staging,raw_idp_2024_mesures_qualite_globale,parametre_qualite,val_qual,Tl,tl,Tl,TL,MAPPED,0.95,à confirmer,mg/L,mg/L,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_MISSING | NON_NUMERIC_PRESENT | UNIT_ASSUMED,MESURE,14,2,"valeur=0,014; date=2025-10-13; point=AVAL VILLAGE AIT SIBERNE || valeur=0,0181; date=2025-10-13; point=MERJA FOUARATE || valeur=0,0501; date=2025-10-13; point=AVAL REJET INDUSTRIEL MERJA",MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_mesures_qualite_barrages,parametre_qualite,val_qual_barr,SF,sf,SF,SF,MAPPED,0.95,g/L,UFC/100 mL,UFC/100 mL,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_CONFLICT | UNIT_ASSUMED,MESURE,134,0,valeur=1300; date=1988-10-14; point=788/21 || valeur=200; date=1989-03-24; point=788/21 || valeur=200; date=1992-02-04; point=788/21,MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_mesures_qualite_nappes,parametre_qualite,val_qual_nap,SF,sf,SF,SF,MAPPED,0.95,g/L,UFC/100 mL,UFC/100 mL,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_CONFLICT | UNIT_ASSUMED,MESURE,2640,0,valeur=9; date=1988-10-03; point=1652/22 || valeur=9000; date=1988-10-19; point=1475/9 || valeur=4; date=1989-03-31; point=2528/15,MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
