scenario_id,Segment_rejet,Crejet_mg_L,QRejet_m3_s,QSebou_m3_s,QInnaouen_m3_s,QOuergha_m3_s,C_SidiAllalTazi_mg_L,C_BgGarde_mg_L,Statut
SC_QR01_C01_QS02_QI03_QO05,Segment_Pollution_base,100,0.055555556,15,50,150,0.009610501,0.00710021,SUFFISANT
SC_QR01_C01_QS02_QI03_QO06,Segment_Pollution_base,100,0.055555556,15,50,200,0.009008395,0.007727122,SUFFISANT
SC_QR01_C01_QS02_QI03_QO07,Segment_Pollution_base,100,0.055555556,15,50,400,0.004728313,0.005256971,SUFFISANT
SC_QR01_C01_QS03_QI01_QO01,Segment_Pollution_base,100,0.055555556,30,10,10,0.021752123,0.011054691,SUFFISANT
SC_QR01_C01_QS03_QI01_QO02,Segment_Pollution_base,100,0.055555556,30,10,25,0.026153913,0.018084606,SUFFISANT
SC_QR01_C01_QS03_QI01_QO03,Segment_Pollution_base,100,0.055555556,30,10,50,0.021766948,0.020968419,SUFFISANT
SC_QR01_C01_QS03_QI01_QO04,Segment_Pollution_base,100,0.055555556,30,10,100,0.009616654,0.012651438,SUFFISANT
SC_QR01_C01_QS03_QI01_QO05,Segment_Pollution_base,100,0.055555556,30,10,150,0.00417447,0.0063068,SUFFISANT
SC_QR01_C01_QS03_QI01_QO06,Segment_Pollution_base,100,0.055555556,30,10,200,0.001996626,0.003242816,SUFFISANT
SC_QR01_C01_QS03_QI01_QO07,Segment_Pollution_base,100,0.055555556,30,10,400,0.002781687,0.00195141,SUFFISANT
SC_QR01_C01_QS03_QI02_QO01,Segment_Pollution_base,100,0.055555556,30,25,10,0.028149163,0.030549057,SUFFISANT
SC_QR01_C01_QS03_QI02_QO02,Segment_Pollution_base,100,0.055555556,30,25,25,0.0176712,0.023754064,SUFFISANT
SC_QR01_C01_QS03_QI02_QO03,Segment_Pollution_base,100,0.055555556,30,25,50,0.007480951,0.012575231,SUFFISANT
SC_QR01_C01_QS03_QI02_QO04,Segment_Pollution_base,100,0.055555556,30,25,100,0.00407291,0.003138703,SUFFISANT
SC_QR01_C01_QS03_QI02_QO05,Segment_Pollution_base,100,0.055555556,30,25,150,0.006010879,0.003530792,SUFFISANT
SC_QR01_C01_QS03_QI02_QO06,Segment_Pollution_base,100,0.055555556,30,25,200,0.006796496,0.004755223,SUFFISANT
SC_QR01_C01_QS03_QI02_QO07,Segment_Pollution_base,100,0.055555556,30,25,400,0.005354369,0.005114156,SUFFISANT
SC_QR01_C01_QS03_QI03_QO01,Segment_Pollution_base,100,0.055555556,30,50,10,0.007281501,0.005747146,SUFFISANT
SC_QR01_C01_QS03_QI03_QO02,Segment_Pollution_base,100,0.055555556,30,50,25,0.010128254,0.004553158,SUFFISANT
SC_QR01_C01_QS03_QI03_QO03,Segment_Pollution_base,100,0.055555556,30,50,50,0.013162073,0.007797751,SUFFISANT
SC_QR01_C01_QS03_QI03_QO04,Segment_Pollution_base,100,0.055555556,30,50,100,0.01348629,0.011160023,SUFFISANT
SC_QR01_C01_QS03_QI03_QO05,Segment_Pollution_base,100,0.055555556,30,50,150,0.010807082,0.010779947,SUFFISANT
SC_QR01_C01_QS03_QI03_QO06,Segment_Pollution_base,100,0.055555556,30,50,200,0.008070338,0.00903173,SUFFISANT
SC_QR01_C01_QS03_QI03_QO07,Segment_Pollution_base,100,0.055555556,30,50,400,0.002536475,0.003462943,SUFFISANT
SC_QR01_C02_QS01_QI01_QO01,Segment_Pollution_base,150,0.055555556,7.5,10,10,0.053626753,0.0700415,SUFFISANT
SC_QR01_C02_QS01_QI01_QO02,Segment_Pollution_base,150,0.055555556,7.5,10,25,0.036600411,0.024078401,SUFFISANT
SC_QR01_C02_QS01_QI01_QO03,Segment_Pollution_base,150,0.055555556,7.5,10,50,0.03477706,0.031504024,SUFFISANT
SC_QR01_C02_QS01_QI01_QO04,Segment_Pollution_base,150,0.055555556,7.5,10,100,0.015076292,0.018536054,SUFFISANT
SC_QR01_C02_QS01_QI01_QO05,Segment_Pollution_base,150,0.055555556,7.5,10,150,0.006682443,0.009168903,SUFFISANT
SC_QR01_C02_QS01_QI01_QO06,Segment_Pollution_base,150,0.055555556,7.5,10,200,0.005419698,0.004879221,SUFFISANT
SC_QR01_C02_QS01_QI01_QO07,Segment_Pollution_base,150,0.055555556,7.5,10,400,0.005358761,0.004611874,SUFFISANT
SC_QR01_C02_QS01_QI02_QO01,Segment_Pollution_base,150,0.055555556,7.5,25,10,0.035438292,0.051593982,SUFFISANT
SC_QR01_C02_QS01_QI02_QO02,Segment_Pollution_base,150,0.055555556,7.5,25,25,0.018184882,0.022632733,SUFFISANT
SC_QR01_C02_QS01_QI02_QO03,Segment_Pollution_base,150,0.055555556,7.5,25,50,0.026884204,0.017764192,SUFFISANT
SC_QR01_C02_QS01_QI02_QO04,Segment_Pollution_base,150,0.055555556,7.5,25,100,0.022030259,0.021335186,SUFFISANT
SC_QR01_C02_QS01_QI02_QO05,Segment_Pollution_base,150,0.055555556,7.5,25,150,0.013793851,0.015842509,SUFFISANT
SC_QR01_C02_QS01_QI02_QO06,Segment_Pollution_base,150,0.055555556,7.5,25,200,0.00855541,0.010764708,SUFFISANT
SC_QR01_C02_QS01_QI02_QO07,Segment_Pollution_base,150,0.055555556,7.5,25,400,0.00188128,0.002684929,SUFFISANT
