base,schema,table,type_table,mode_detection,parametre_observe,parametre_normalise_auto,colonne_parametre,colonne_valeur,unite_detectee,volume_lignes,volume_valeurs_non_nulles,nb_valeurs_nulles,nb_valeurs_negatives,nb_valeurs_non_numeriques,min_valeur,max_valeur,premiere_date,derniere_date,exemple_valeur_1,exemple_valeur_2,exemple_valeur_3,source_origine,commentaire_auto,qualite_detection
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,CF,cf,parametre_qualite,val_qual,UFC/100mL,184,184,0,0,164,0.0,94.0,2024-09-13,2025-12-14,"1,0x103","4,9 x 106","1,5x102",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Cl-,cl,parametre_qualite,val_qual,à confirmer,189,189,0,0,0,5.9,14508.0,2024-09-13,2025-12-14,497,395,173,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Co,co,parametre_qualite,val_qual,à confirmer,46,46,0,0,45,0.0245,0.0245,2024-09-13,2025-12-14,"<0,005","<0,010","0,0245",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,CO3,co3,parametre_qualite,val_qual,mg/L,32,32,0,0,0,0.0,0.0,2024-09-18,2025-12-13,0,,,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,CrT,crt,parametre_qualite,val_qual,à confirmer,46,46,0,0,16,0.0101,0.1108,2024-09-13,2025-12-14,"<0,005","<0,010","0,0101",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,CT,ct,parametre_qualite,val_qual,mg/L,184,184,0,0,173,0.0,90.0,2024-09-13,2025-12-14,"3,4x102","6,2X102","5,0X103",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Cu,cu,parametre_qualite,val_qual,à confirmer,46,46,0,0,15,0.0113,0.2337,2024-09-13,2025-12-14,"<0,005","<0,010","0,0113",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,DBO5,dbo5,parametre_qualite,val_qual,mg O2/L,163,163,0,0,5,0.5125,17450.57,2024-09-13,2025-12-14,"2,132","261,69","25,815",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,DCO,dco,parametre_qualite,val_qual,mg O2/L,172,172,0,0,16,9.6,30720.0,2024-09-12,2025-12-14,1585,96,266,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,"DCO  D 
 2h",dco,parametre_qualite,val_qual,à confirmer,2,2,0,0,0,53.76,74.88,2025-10-30,2025-10-30,"53,76","74,88",,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Fe,fe,parametre_qualite,val_qual,mg/L,97,97,0,0,17,0.0199,43.2,2024-09-13,2025-12-14,"5,24","3,693","0,661",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Fe2+,fe2,parametre_qualite,val_qual,à confirmer,6,6,0,0,1,0.0171,5.624,2024-09-21,2025-10-28,"<0,010","0,0171","0,054",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,HCO3,hco3,parametre_qualite,val_qual,à confirmer,32,32,0,0,0,133.0,839.0,2024-09-18,2025-12-13,133,167,173,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Hg,h_g,parametre_qualite,val_qual,à confirmer,31,31,0,0,24,0.0002614,0.0017,2024-09-13,2025-12-14,"<0,00025","0,0002614","0,0003",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,"Huiles
Graisses",h_g,parametre_qualite,val_qual,à confirmer,72,72,0,0,22,0.44,126.0,2024-09-13,2025-12-14,"7,58","15,4","0,562",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,IP,ip,parametre_qualite,val_qual,à confirmer,25,25,0,0,14,0.527,3.466666667,2024-09-18,2025-12-13,"<0,45","0,527","0,79",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,K+,k,parametre_qualite,val_qual,à confirmer,172,172,0,0,0,0.448,633.0,2024-09-13,2025-12-14,"1,86","62,8","1,76",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Li,li,parametre_qualite,val_qual,à confirmer,34,34,0,0,10,0.0082,3.374,2024-09-18,2025-12-14,"<0,020","0,0082","0,0089",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,MES,mes,parametre_qualite,val_qual,mg/L,163,163,0,0,3,7.368421053,24008.0,2024-09-13,2025-12-14,"11,5",1924,672,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
