parametre,volume,min,max,moyenne,null,non_numerique,negatif,date_min,date_max
TAC/TACs_°F,89,6.7,79.4,,0,1,0,2025-10-06,2025-12-01
TAC_meq/l,32,2.18,13.76,,0,0,0,2024-09-18,2025-12-13
TAC_°F,32,10.9,68.8,,0,0,0,2024-09-18,2025-12-13
TA_meq/l,32,0.0,0.0,,0,0,0,2024-09-18,2025-12-13
TA_°F,32,0.0,0.0,,0,0,0,2024-09-18,2025-12-13
TH,2743,0.0,19105.9,,0,0,0,1991-03-27,2025-12-14
T_Air,5033,4.0,250.0,,0,0,0,1988-09-20,2024-11-29
T_air,4754,9.0,42.0,,0,0,0,2023-01-03,2026-01-06
T_eau,9828,0.0,213.0,,0,0,0,1988-09-20,2026-01-06
Temperature_Ambiante,1,24.0,24.0,,0,0,0,1991-03-27,1991-03-27
Tl,14,0.014,0.1127,,0,2,0,2025-10-13,2025-10-31
Turbidite,1997,0.0,158564.0,,0,0,0,1988-10-06,2024-11-28
Turbidité,4572,0.0,nan,,0,0,0,2023-12-07,2026-01-06
V,42,0.0076,0.3719,,0,21,0,2024-09-13,2025-12-11
Vanadium(mg/l),182,0.005,0.01,,160,0,0,2023-01-03,2025-09-22
Vibrion_Cholerique,1,3400.0,3400.0,,0,0,0,2009-10-22,2009-10-22
Zinc,8,0.0154,0.0501,,0,4,0,2025-10-08,2025-10-29
Zinc(mg/l),182,0.01,0.0211,,160,0,0,2023-01-03,2025-09-22
Zn,280,0.0,60.0,,0,13,0,1990-01-31,2025-12-11
apports_hm,34,0.0,2776.0,,11,0,0,,
apports_mm3,85166,0.0,290.4521378,,11,0,0,1996-12-01,2025-09-01
cap_equiv_hab,41,20.067,219000.0,,29,0,0,,
cond_20_c,391,1.25,48600.0,,63,0,0,2024-09-12,2025-12-15
debit,2816,0.0,18602.0,,0,0,0,2000-01-05 11:18:00,2025-07-30 13:15:00
debit_jr,521433,-2.0,4084.353071,,0,0,1931,1956-09-01,2025-08-31
debit_l_s,362,0.0,nan,,155,0,0,,
debit_m,19316,0.0,2131.566622,,0,0,0,,
dimension,362,100.0,2000.0,,165,0,0,,
disqu_secchi,391,0.15,8.0,,369,0,0,2024-09-12,2025-12-15
dist_pt_eau_foyer_pollut_m,46,2.0,1700.0,,18,0,0,1940-01-01,2024-01-01
eau_ss_terr_niv_statique_m_sol,243,2.7,12.0,,232,0,0,2024-09-12,2025-12-15
hauteur,34,0.0,112.0,,1,0,0,,
hauteur_m,62359,94.5,765.0,,0,0,0,,
indice de phénol M:A,27,0.01,0.147,,0,10,0,2025-10-08,2025-11-20
longueur_km,28,6.028061935844722,471.40927379922306,,0,0,0,,
montant_md,34,31.5,9366.0,,11,0,0,,
niv_piezometrique_m,46,2.0,110.0,,24,0,0,1940-01-01,2024-01-01
niveau_eau_m_ngm,85166,0.0,746.18,,0,0,0,1996-12-01,2025-09-01
o2_dissous,391,0.0,10.85,,151,0,0,2024-09-12,2025-12-15
pH,4754,0.0,8.8,,0,0,0,2023-01-03,2026-01-06
pH au laboratoire,7,,,,3,4,0,2025-10-06,2025-11-20
p_annuelle,2085,0.0,2871.0,,170,0,0,1914-04-17,2025-02-09
p_max,2085,0.0,420.0,,170,0,0,1914-04-17,2025-02-09
perimetre,1,1063.66456726,1063.66456726,,0,0,0,,
ph,5457,2.61,660.0,,63,0,0,1988-09-20,2025-12-15
phenol,2,0.02,7.09,,0,0,0,2007-01-12,2024-11-13
precipitation_jr,669880,0.0,420.0,,161950,0,0,1985-09-01,2025-08-31
profond_tot_m,46,5.0,625.0,,18,0,0,1940-01-01,2024-01-01
quantite_t_j,233,0.02,560.0,,74,0,0, ,2023
restitutions_mm3,85166,0.0,290.4521378,,1,0,0,1996-12-01,2025-09-01
sat,1221,0.0,941.2,,0,0,0,1988-09-20,2017-09-27
"somme
anions_meq/l",89,2.305482883,587.2815965,,0,0,0,2025-10-06,2025-12-01
"somme
anions_meq/l3",28,3.50430391,252.7530891,,0,0,0,2024-09-20,2025-12-13
"somme
anions_mg/l",89,134.444,21594.243,,0,0,0,2025-10-06,2025-12-01
"somme
anions_mg/l4",28,69.63,5451.94,,0,0,0,2024-09-20,2025-12-13
sup_occupee_ha,233,0.005,128.0,,125,0,0, ,2023
sup_tot_ha,233,0.02,700.0,,105,0,0, ,2023
superficie_ha,41,0.7,37.0,,16,0,0,,
superficie_km2,18,25.36574846088,40960.94362070001,,0,0,0,,
surface_km2,62359,0.0,132.12,,0,0,0,,
t_air,391,10.0,37.0,,75,0,0,2024-09-12,2025-12-15
t_eau,391,10.1,30.5,,75,0,0,2024-09-12,2025-12-15
transfert_mm3,85166,0.0,4.216,,76888,0,0,1996-12-01,2025-09-01
turbidite,391,2.9,1000.0,,189,0,0,2024-09-12,2025-12-15
val_evaporation,48900,0.0,20.08,,10308,0,0,2013-07-06,2024-08-31
val_observees,546007,0.0,420.0,,45702,0,0,1985-09-01,2024-08-31
val_power_nasa,546007,0.0,194.16,,0,0,0,1985-09-01,2024-08-31
val_remplies,546007,0.0,420.0,,0,0,0,1985-09-01,2024-08-31
vol_eaux_us_trait_m3_an,41,2052.0,47450000.0,,14,0,0,,
vol_preleve_m3_an,46,0.0,1271110.0,,29,0,0,1940-01-01,2024-01-01
volume_mm3,147525,0.0,4033.781,,75030,0,0,1996-12-01,2025-09-01
vrn_hm3,34,2.8,3800.0,,11,0,0,,
