parametre,unites_detectees,source_unite,volume_total,statut
Fe2+,à confirmer,types_mesures / libellé / nom de colonne,44,unité absente
FeT,mg/L,types_mesures / libellé / nom de colonne,2072,unité détectée
Fer,à confirmer,types_mesures / libellé / nom de colonne,8,unité absente
Fer(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
Ferdissous(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
Germe_tt_22,à confirmer,types_mesures / libellé / nom de colonne,4,unité absente
Germe_tt_37,à confirmer,types_mesures / libellé / nom de colonne,2,unité absente
H2S,à confirmer,types_mesures / libellé / nom de colonne,4,unité absente
HCO,à confirmer,types_mesures / libellé / nom de colonne,3,unité absente
HCO3,à confirmer,types_mesures / libellé / nom de colonne,121,unité absente
HCO3-,mg/L,types_mesures / libellé / nom de colonne,4564,unité détectée
HCT,à confirmer,types_mesures / libellé / nom de colonne,492,unité absente
H_G,à confirmer,types_mesures / libellé / nom de colonne,4726,unité absente
Hg,à confirmer,types_mesures / libellé / nom de colonne,261,unité absente
"Huiles
Graisses",à confirmer,types_mesures / libellé / nom de colonne,72,unité absente
"Huiles
Graisses (H G T)",à confirmer,types_mesures / libellé / nom de colonne,27,unité absente
IBD,Indice,types_mesures / libellé / nom de colonne,142,unité détectée
IBGN,Indice,types_mesures / libellé / nom de colonne,47,unité détectée
IP,à confirmer,types_mesures / libellé / nom de colonne,75,unité absente
IP(mgO2/l),mgO2/l,types_mesures / libellé / nom de colonne,182,unité détectée
Indicedephénol(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
K,mg/L,types_mesures / libellé / nom de colonne,4556,unité détectée
K+,à confirmer,types_mesures / libellé / nom de colonne,261,unité absente
K+4,à confirmer,types_mesures / libellé / nom de colonne,89,unité absente
Largeur,m,types_mesures / libellé / nom de colonne,197,unité détectée
Li,à confirmer,types_mesures / libellé / nom de colonne,50,unité absente
Litium(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
MD,à confirmer,types_mesures / libellé / nom de colonne,2,unité absente
MES,mg/L,types_mesures / libellé / nom de colonne,2564,unité détectée
MEST Filtr,à confirmer,types_mesures / libellé / nom de colonne,77,unité absente
MEST(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
MO,mg/L,types_mesures / libellé / nom de colonne,2658,unité détectée
Manganèse(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
Mercure,à confirmer,types_mesures / libellé / nom de colonne,8,unité absente
Mercure(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
Mg,mg/L,types_mesures / libellé / nom de colonne,4533,unité détectée
Mg++,à confirmer,types_mesures / libellé / nom de colonne,278,unité absente
Mn,mg/L,types_mesures / libellé / nom de colonne,2701,unité détectée
Mn5,à confirmer,types_mesures / libellé / nom de colonne,88,unité absente
Mo,à confirmer,types_mesures / libellé / nom de colonne,46,unité absente
Molybdène(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
NA,à confirmer,types_mesures / libellé / nom de colonne,4556,unité absente
NH4,mg/L,types_mesures / libellé / nom de colonne,4776,unité détectée
NH4+,à confirmer,types_mesures / libellé / nom de colonne,315,unité absente
NH4+  Titri,à confirmer,types_mesures / libellé / nom de colonne,2,unité absente
NH4+ 2,à confirmer,types_mesures / libellé / nom de colonne,17,unité absente
NH4+ Spect,à confirmer,types_mesures / libellé / nom de colonne,127,unité absente
NH4+(mgNH4+/l),mgNH4+/l,types_mesures / libellé / nom de colonne,182,unité détectée
NO2-,mg/L,types_mesures / libellé / nom de colonne,4724,unité détectée
NO2- _Spectro.,à confirmer,types_mesures / libellé / nom de colonne,89,unité absente
NO3-,mg/L,types_mesures / libellé / nom de colonne,5348,unité détectée
NO3-(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
NO3-_Réduction Cd,à confirmer,types_mesures / libellé / nom de colonne,4,unité absente
NO3-_Spectro,à confirmer,types_mesures / libellé / nom de colonne,127,unité absente
NTK,à confirmer,types_mesures / libellé / nom de colonne,4735,unité absente
NTK Spectr,à confirmer,types_mesures / libellé / nom de colonne,39,unité absente
NTK Titri,à confirmer,types_mesures / libellé / nom de colonne,21,unité absente
Na+,à confirmer,types_mesures / libellé / nom de colonne,261,unité absente
Na+3,à confirmer,types_mesures / libellé / nom de colonne,89,unité absente
Ni,à confirmer,types_mesures / libellé / nom de colonne,317,unité absente
Nickel,à confirmer,types_mesures / libellé / nom de colonne,8,unité absente
Nickel(mg)/l,mg,types_mesures / libellé / nom de colonne,182,unité détectée
Nitrates,à confirmer,types_mesures / libellé / nom de colonne,4572,unité absente
Numerotation_GT,à confirmer,types_mesures / libellé / nom de colonne,1,unité absente
O2_diss,mg O2/L,types_mesures / libellé / nom de colonne,2812,unité détectée
O2_dissous,à confirmer,types_mesures / libellé / nom de colonne,4572,unité absente
O2dissous(mgd'O2/l),mgd'O2/l,types_mesures / libellé / nom de colonne,182,unité détectée
OH,mg/L,types_mesures / libellé / nom de colonne,2,unité détectée
OH-,à confirmer,types_mesures / libellé / nom de colonne,89,unité absente
Odeur,à confirmer,types_mesures / libellé / nom de colonne,1,unité absente
PO3,à confirmer,types_mesures / libellé / nom de colonne,1,unité absente
PO4 3-,mg/L,types_mesures / libellé / nom de colonne,2321,unité détectée
PO43-,à confirmer,types_mesures / libellé / nom de colonne,240,unité absente
PO43-(mgP/l),mgP/l,types_mesures / libellé / nom de colonne,182,unité détectée
PT,à confirmer,types_mesures / libellé / nom de colonne,240,unité absente
"PT
 décant. 2h",à confirmer,types_mesures / libellé / nom de colonne,4,unité absente
PT DECANTE,à confirmer,types_mesures / libellé / nom de colonne,4,unité absente
PT(mgP/l),mgP/l,types_mesures / libellé / nom de colonne,182,unité détectée
PTD,mg/L,types_mesures / libellé / nom de colonne,137,unité détectée
PTP,mg/L,types_mesures / libellé / nom de colonne,137,unité détectée
Pb,à confirmer,types_mesures / libellé / nom de colonne,488,unité absente
Phenol,à confirmer,types_mesures / libellé / nom de colonne,4572,unité absente
Pheopigment,µg/L,types_mesures / libellé / nom de colonne,55,unité détectée
Phosphore total,à confirmer,types_mesures / libellé / nom de colonne,1972,unité absente
Phosphore_Total,mg/L,types_mesures / libellé / nom de colonne,631,unité détectée
Phénol,mg/L,types_mesures / libellé / nom de colonne,73,unité détectée
Ph�nol,pH,types_mesures / libellé / nom de colonne,687,unité détectée
Plomb,à confirmer,types_mesures / libellé / nom de colonne,8,unité absente
Plomb(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
Profondeur,m,types_mesures / libellé / nom de colonne,124,unité détectée
Pseudo_aer,à confirmer,types_mesures / libellé / nom de colonne,2,unité absente
"RS 
mesuré",à confirmer,types_mesures / libellé / nom de colonne,24,unité absente
"RS 
mesuré_à 105 °C",°C,types_mesures / libellé / nom de colonne,50,unité détectée
RS105,à confirmer,types_mesures / libellé / nom de colonne,2244,unité absente
RS185,à confirmer,types_mesures / libellé / nom de colonne,9,unité absente
S,mg/L,types_mesures / libellé / nom de colonne,10,unité détectée
S2,mg/L,types_mesures / libellé / nom de colonne,21,unité détectée
