node_id,geom
1,01010000204F660000A0302271E0012141A26D9BB2E7851641
2,01010000204F660000802D217FA9072141C0B359B52AD81541
3,01010000204F6600000024B9DC35F12041806FF005B1A51541
4,01010000204F660000E2B6D8A7ABFA2041A0DDDE4B10CC1541
5,01010000204F660000C0ACFA3C3AE52041004625F5ED8F1541
6,01010000204F66000000BD52D6CB481D41C00E9C3352AD1941
7,01010000204F660000003E791822FD1741009E5EE963281941
8,01010000204F660000803177EDAB2A20410098DD536D0F1941
9,01010000204F66000000E25857CD851841C0627F5931B51941
10,01010000204F6600008019E218991E184100B37BF24C4D1941
11,01010000204F66000080EC2FDB035A1941C0A8A48E234D1941
12,01010000204F6600000038678419F91D4180C7293A33321941
13,01010000204F6600000087A71791921D41404BC8C770C91241
14,01010000204F6600004E0F4D92168E214134C9C9D2CAD21741
15,01010000204F6600008094F606BAB11B418033A2B468AC1941
16,01010000204F66000000BE3059877F1C4180BE9F5A9EB91941
17,01010000204F660000C067B36AE0C02141207C61B297411541
18,01010000204F660000802C43DC34921D41C0D556AC91A21941
19,01010000204F66000080522720EDD11A41404772B9FBAB1941
20,01010000204F660000C078E926416A2141C022DBB9963F1641
21,01010000204F6600000074B595A867214100E56161D6DB1541
22,01010000204F660000475EFC66C3FF2241BAD30FF8FF851A41
23,01010000204F66000000A69B44BE6D1D41C0E1E9D522D91941
24,01010000204F6600002034119642FF204140840D0F33961B41
25,01010000204F66000080627F5925D7184100ECC0F94B611A41
26,01010000204F6600004096210E1B152041C0FA5CAD9D831B41
27,01010000204F66000080A3019C55D9204140575BB1CD4E1541
28,01010000204F660000C023B95C38462141C0DEE00BBE1C1B41
29,01010000204F66000000BBB8CDF3951E410000004043FB1241
30,01010000204F6600003626EA3A94EE2041EAFDB8EED3D41641
31,01010000204F660000004FAF94FCE11E4180D2DE2096D11841
32,01010000204F66000000C58FF10021194180DE718A2A6B1941
33,01010000204F66000000166A8DE543214180CDAA0F46431B41
34,01010000204F66000040D6C54D7F3C2141404772B91CAD1B41
35,01010000204F66000040F8C284674F20410042CFA6FE831541
36,01010000204F660000407502DAD051214100AAF19204E11B41
37,01010000204F66000060840D6FDF8E214180CF6695D1B51B41
38,01010000204F66000040522700FC122141805149DD60331C41
39,01010000204F66000080C95401B8A81B41003FC69C07561741
40,01010000204F66000000A8C6EB1D302141C00E9CB350051341
41,01010000204F6600008016D90EAC31214100386784E4051341
42,01010000204F660000C0B584DCB76E2041000BB52635901A41
43,01010000204F660000E07268F1BA4B2141C00A46E596971641
44,01010000204F66000000014D044E5D1F4100B8AF8345F71A41
45,01010000204F660000803BDFCF9F9B174180ABAD184F0E1941
46,01010000204F660000CE74D5D539E82041746116286A851841
47,01010000204F660000A737CBFE3E072241DA66B9BA591B1841
48,01010000204F66000040FAEDEB4E3E2041C04E40D351071941
49,01010000204F66000000F6975D6AF91E4140A60AC659C21741
50,01010000204F6600008009F9A0402B1E41C09AE65D53231841
51,01010000204F66000040AF94657F9C2141400C02AB18651B41
52,01010000204F660000807268910F591F4100166ACD4DF91A41
53,01010000204F660000404B59660FD32141A03F359EE0061B41
54,01010000204F66000000BADA8ADBB01F41007A366B71D21C41
55,01010000204F6600000089D21EBC301C41006D563D491B1541
56,01010000204F660000003E79D8F25A1E4180D93DB9E0D51241
57,01010000204F66000000DF4F4DD9211E41801D38A7C9E71241
58,01010000204F660000005B42BE03B51D410032E6AE0CD81241
59,01010000204F6600000750CF5413F420419AA966A47F631841
60,01010000204F66000040FE43FA107B2041C04D62D0C2041941
61,01010000204F66000000D6C52D0F451E41C06D3440DA971241
62,01010000204F660000806FF005A3A21C410005349187C51941
63,01010000204F6600008089B021DA461C4180E61D27730A1A41
64,01010000204F66000040621018D4402141C086A7D781961A41
65,01010000204F66000000AB3E572BCA1941003B70CE2FB61A41
66,01010000204F66000080081B1EE3741E41400378CB288C1241
67,01010000204F660000001136FCDF081E41C0F1D20D093D1341
68,01010000204F6600000021B0726A6E1C41C0D100DEAB401341
69,01010000204F66000000ECC039C0D51B41C09690CFC7B01341
70,01010000204F660000809F1A2FF9D41B41C0718A0EBAE41341
71,01010000204F66000080E4F21F94BE1E41402575C2BF0E1341
72,01010000204F66000000E4831EBE181E41808A8EA428091641
73,01010000204F660000009F3CAC351A1A41005B423EB0681A41
74,01010000204F660000E0EF41CA93581D41BC9B74B73FD81A41
75,01010000204F66000067620036EEA01D41B5EE6F98EDED1A41
76,01010000204F66000040A16773644C1D41E0A1453689221A41
77,01010000204F660000C03255B0B72F1D41808026C24E2A1A41
78,01010000204F66000080AF946502F01C4160F5B99AB2091A41
79,01010000204F660000970A14F7668D1D411FEF4B6A2FDC1A41
80,01010000204F6600007E85A33158431D412CA00AFF35EC1A41
81,01010000204F660000F5F79ABFB4AF1C416B9809247BD11A41
82,01010000204F66000000D9CEB722A81C41802F4C66D70B1A41
83,01010000204F66000080B437F88A7A1C414094F6863EEA1941
84,01010000204F66000000DD2406C6701C41C030996ACDE51941
85,01010000204F6600008016D9AEA50C224140A60A4657CA1C41
86,01010000204F6600008057CA32D28C1B41C0EC9EFC5F501741
87,01010000204F660000003B704EE4A31841C039230A8AE51941
88,01010000204F66000000098ADF82AA1B41401AC09B6EEF1641
89,01010000204F6600008068916DCB571841C07BF270CD571941
90,01010000204F66000000F6979D96FE1841C0CEF7D375631A41
91,01010000204F66000080A1D6347654194180A982D1EF521941
92,01010000204F660000009D1165BE971B41005839B4D83C1941
93,01010000204F66000040BB27AF15582041C0C876BEE30B1941
94,01010000204F660000032D549F91171C413DC9DEA7E85C1A41
95,01010000204F6600004083C02A27C82241802D219F76921B41
96,01010000204F66000040D3BCE34816204180AEB6E2B2DB1841
97,01010000204F66000027981F31FFAB20415A990E2BB7701841
98,01010000204F6600004ECFA8727A5022417439985B12F31641
99,01010000204F66000080C64B7742491E418009F960A1021341
100,01010000204F660000809A779C22B918418033A2F4394A1A41
101,01010000204F660000804C150C261E1941C057CA723BAB1A41
102,01010000204F66000000EFC9032BD81D41809ECD2ACDAA1241
103,01010000204F660000808104C5D1191E4100780BA4A0F51141
104,01010000204F66000000917E7B4D221C41406744698F9F1341
105,01010000204F660000005D6DC5D7151C4140C807BDD8C81341
106,01010000204F66000080D1009E508E1E410076E01CE8621241
107,01010000204F66000080105879E4EF1B41C064AA60238C1341
108,01010000204F6600000022FDB611BF1E414041F1230D731341
109,01010000204F66000000772D6194B01D4100F2410F7CB31241
110,01010000204F6600000070CE8813251C41806ABC34D27F1541
111,01010000204F66000000560EADABEA1B41C09DEFA7613A1A41
112,01010000204F6600000087A71746601A4140A089F094561A41
113,01010000204F660000809BC4A0CACB1D41E088D2DE95441A41
114,01010000204F66000080218EF5E212204160BB274FF45E1B41
115,01010000204F66000000408ACD3BDC1C414069BF1FA2E01A41
116,01010000204F660000002DB2BD2DED2041807346949F551D41
117,01010000204F6600008080268250EC1941C037F842E2C41A41
118,01010000204F660000CE30DB27F4BB2141346953C338881941
119,01010000204F660000004A7B038B461C41803C2C54C45C1541
120,01010000204F66000080F085897BB61941C09BC4E011901A41
121,01010000204F6600000011363CAF451941400C02AB179D1A41
122,01010000204F6600000010E9F796932041402EFFE183921741
123,01010000204F660000808A8EA4606F194140B6F3BDE3931A41
124,01010000204F660000408716F92EC12141C0C3422D50261541
125,01010000204F66000000492E1FEEC7214100E561616E431441
126,01010000204F66000080A67907BE981941804F1E5693841A41
127,01010000204F660000001214BFFA5A1A41C0DFBE0E44301B41
