edge_id,geom,length_m
1,01020000204F6600002700000000BBB8CDF3951E410000004043FB1241006744296B911E4180EE5A8271FA124100363C3D918E1E4100E02D50DEF91241002FDD24698C1E4140C28667DDFA124180C11766B68A1E41C064AAE044FA124180D2DE605D891E4100CE19D173F912410055302A02881E41006B2BF6BAF7124180A757CA3D871E414027A00960F61241008BFDE56E871E4180D5E7EAB9F512410085EBD1E9851E41C0817386B4F31241001DC9E5AB841E41007D3F3552F3124180C5FEF2C8821E41C0E848AE6EF31241808CB96B5F811E41C04F8D976CF21241804C154C52801E4140764F5E61F1124180711BCD967F1E41C07BF2B090F1124100394547487F1E4100CCEEC9BAF2124100A4707D077C1E4140A4DFFE22F3124180627F19A47A1E41C0946548D3F21241804694F664791E41002B8716AEF1124100ABCF15AB771E41C0F0F4CAE8F112418030996AFA751E41C09F1A6F65F112410073D79294741E41C078E9A618F01241805296E198731E4140B072681BEE1241804DF30E30701E41C0293A52A1EB12418051491DE26E1E414062109868EA124180B5153B946D1E41C0B43778EEE9124100E336DA946C1E418014AEC7B5E8124100E6AE25AB6B1E41405530AA2DE7124180F08509BE691E41C0F97E2A77E51241003A928BBD631E4140287E0CF1DF12410003090A9D621E41001EA728D3DD12410042CF26D7601E410048507C88DC1241003D9B15225F1E4180CB7FC8FFDB124180257502305E1E414070CE4857DB124100EF3845CA5D1E41C0C3426D8CDA124180257542B25C1E4140D6C52D14D91241808026C2715C1E4180F4DB57AFD712418023B9FC6D5B1E4140F6979D4FD61241003E79D8F25A1E4180D93DB9E0D51241,4999.9999984534625
2,01020000204F6600001A000000005B42BE03B51D410032E6AE0CD8124180270F8B63B21D41406C78FA9AD8124100295CCFA9B01D41C0BDC1979BD8124180B3EA3344B01D4180B740C236D81241003D9B559AAF1D4140FAED2B8ED7124180BA494C6FAE1D4180C954415ED7124100ADFADC67AD1D41C0E53F24DBD61241800C712CAEAB1D41408D97AE17D7124180DE714AFFAB1D4140E6AE253DD9124100A1673391AB1D41C09BC4202DDA124100EA95723BAA1D41C0CFD5D629D91241001B9EDED6A71D41001748D0B2D812410031086C1DA61D41002731488FD912410004564E0FA51D41802F4C260FDC124100D881F341A31D418006F09645DD12410058393484A21D4140F1634CEDDF12418059F5F9FCA01D41400F0BB5C9E01241805CFE83FDA01D41001DC96531E2124100EFC9C3BC9F1D41002DB29D71E3124180CA3244EF9D1D4100AAF15259E512418028EDCD129D1D4140984C55C4E71241006900EF4A9D1D41C01B7C2167E8124180658823339D1D41802A1895BAE812410096B24CDF9C1D4140B9FCC7AEE8124100C9E57FAF9C1D410061C353FCE812410087A7973D9C1D410076E0DC03E91241,2503.965719565582
3,01020000204F6600001D000000808CB9ABA9F01D41009A085B3AC41241004CA64A3DED1D41806ABCF478C31241008941E00CEA1D41808104C5A1C2124100A089F0DDE71D410083C0CA8DC01241004625B59AE51D4140AB3E57DEBF12418025E4C3C5E31D414050FC98B3BF124180D93D39CAE21D41804694369DC01241807CD0B384E01D4180FF907E7EC1124100BC051271DE1D410027310861BF124180F1638C85DD1D4140B4C8B688BF124100363C7D06DD1D4140287E8CDEC112418031772D32DB1D418004C58FE5C312410063EE1A24D91D41C0C8767E50C4124180B88D4628D51D41403EE859AAC41241802E6E637ED21D410093A982D0C21241000BB526A5CF1D4180AA60543DC51241805DDC8602CE1D41C0847C50F0C4124100E02D90CFCE1D41C0D5562CFBC61241006B2B766ACC1D4140A2B4B73FC71241804013213ACC1D4180B0E1A958C8124100FA7EAAA8CB1D41C0CCCC0C03CA124180D1915C4DC91D4100917EBB81CA1241001136BC15C71D4140B1BFECC1CD124180559F6BE9C31D410064CC1DF2D012410042CFE61AC11D4180029AC8CBD4124100CCEE49D0BF1D418031772DE4D6124180900FFAABBB1D41405C8F4242D8124100CBA1850EB51D410042CF660AD81241005B42BE03B51D410032E6AE0CD81241,5000.000029138418
4,01020000204F6600001900000000DF4F4DD9211E41801D38A7C9E712418073465443211E41C0E1E995EBE7124180C64BF7FB1F1E410042CFE6CDE612410069002F5C1F1E4100FCA931DEE61241801E856B4A1E1E4180B96BC9DEE7124180DB6880231C1E4140DF4FCDEFE8124100E25857C81A1E4140211F7481E9124100FDF675601A1E4140D8F03420EB12418019E298FC181E4100B7D10043EB124180EB51B8C3151E418019E2980CEA124180423EE849131E4100D7A3F068E9124180E1E9D5CB111E41C0A8A4CEB3E8124100C66DF437111E4140CD3BCEB6E4124180B96B89F30B1E41C0DA8A3DD8D8124180423EE8D80B1E4180ABADD8F9D5124100C58FF17A0C1E41C0E76A6B88D11241806E12C320091E410020D2AF3FCE12410001DEC288071E4180B740827CCE124100C9E5FF4F061E41407DAE7693CD1241806DC53EDE051E4100BC051264C9124100C66DF44A001E4180B0E1A93BC61241002E90E06AFB1D41C042ADE944C41241006EA30155F81D41008D286D6BC5124100D9CEB765F41D41408638560DC51241808CB9ABA9F01D41009A085B3AC41241,4999.99992742626
5,01020000204F6600003A000000003E79D8F25A1E4180D93DB9E0D5124180423E68935A1E41C0A679C78AD512418050FC58E2571E418033A234ABD41241004ED1D131551E41C0CFD556F5D412410083C00A3A541E41001DC9E5FED3124100CBA1C5B4521E4180A3013C22D412410019735707511E418009F9A0FBD412418003E74CA04D1E4180A3017C94D5124180FA5C6D234B1E414060E59006D7124180257582DB481E41407B832FF5D61241808D063037471E410093A982CCD6124180B6F3FD05461E41806E1203AFD61241803A010DD0431E41C02E6EE35BD7124100363C3D53421E4180DD9347D3D51241004FAF546A411E414017B751FFD41241808B6CE747401E4180E4F25F9AD3124180477279943F1E4180976E1239D31241803A01CDB13D1E4140211F3494D312418014AE07FC3C1E41C059F5F9DAD3124100508DD7543C1E414070CE88CBD312410061C313A83B1E41007B14EE60D412418033A234FB3A1E41C06D344064D4124100431C6B87391E41803255306ED4124180BF7D1D96381E41001DC925FDD412418088639D44381E4100E561E12DD51241804C15CCC8371E4140D3BCA324D61241802D219FB3361E4100B37BF25BD6124180408222D9351E41C032C4B1A6D6124180703D0A1C351E410066F76432D712410024283EF8341E4100C898BBBAD7124180CE88124D351E410040A45FF8D7124100F1F40A14361E41C04603F81BD812410047037831361E41C04B3709A1D8124100A2B43740351E410051DA1B81D9124100EF3845CF341E41C08AFDE572DA1241808CB96B98331E4140D49AA6DCDA124100CE19510C331E4140B29D2FD0DB124100386744DF321E41800F7AF6F3DC1241801C5AE44D331E4140DC46C35FDE124180DFBE4E70321E41C0EEC94394DF124180E17A14A3311E41403CBD9230E11241808B6CE780301E41005A64FBECE1124100E6AEA56B2F1E41C0F1D20D68E1124180F90F69AE2E1E418009F920D6E0124180635D1CFE2D1E41808EE43271DF124180E3145DAC2D1E4180559FEB22DE124180B81E85D32B1E41401CEB223DDE1241803D0A17F92A1E41C0506B1ACCDE12418004C5CFD02A1E4100EA95B265DF124100A8C60B6D2A1E414092CBFF06E01241804013E188291E41401AC09BE0E01241803EE899F9281E418033A2F455E2124100F853E3F4271E41405C8F8270E3124100014D04ED261E4140BA49CC40E51241801A2F1D16241E414094F6C658E71241807D1DB893231E4140B81E059DE7124100ECC07964221E4180E7FB29AAE7124100DF4F4DD9211E41801D38A7C9E71241,5000.000039054189
6,01020000204F660000700000000089D21EBC301C41006D563D491B154180C8077DEC2F1C4140014D84A11B154180FC87B46B2F1C41805AD3FCAD1C154100492EFFA42E1C41402EFFE1601D154180506B5A552E1C41807CD0B3151E1541808638166A2E1C4140BF7D5D1F1F154180567DAEDE2E1C41009F3CAC951F1541000F0BB5062F1C41C0ACFA1C3D201541006D567DB92E1C41406EA3C18E201541809BC4E0E32D1C4100C364EAE1201541808251C9AA2D1C41C0293A923C21154180627F992A2E1C41C034EFF86122154180257542342D1C41C05F760FFF221541003FC69CED2C1C4180855A13B0231541808D06F0BE2C1C4140772DE1EA24154180999999752C1C41C0F831A68C251541009F3C6C8A2C1C4100BC05D2FA251541801CEB62902C1C41404BC8478F2615410069006F652C1C4100E258970927154180F7E4E1E42C1C41C0FC87B4EF27154180D6346FE52C1C4180BB96D042281541804BC807882C1C41001EA76838281541802E6E23772C1C41003411F69728154180B5153B9C2C1C41403CBD52D7281541000AD7A3752C1C41C04B37499929154100CDCC4C732C1C41C0490C02EC291541806132D5142C1C41C0A3707D952A1541001826139F2B1C41801D3867D42A1541003B700E532B1C414092CBFFDC2A154100CE1991112B1C41C0B5847C432B15418045B673C52A1C41007F6ABCE42B1541000A6862772A1C41C0F5289C882C154100BADA8A682A1C4100F2414FFD2C154100E86A2B1B2A1C414080B7805D2D154100454772F7291C4180787A25EA2D1541002506C1B8291C41C0847C10672E1541005C2041F7291C4180999959E32E1541806ABC34892A1C41004D848DB02F154100A167F3CC2A1C41C0460338B43015410066F7A41E2B1C41801B0D605E311541007B14EE542B1C41C03B4E91C231154100D7A3304C2B1C410062A196463215410062A156532B1C4140A2B477DA32154100098ADF192B1C41008A1F23F132154100DF4F0DAF291C41C0E53F64BA32154100E78CA88F291C4100AAF15273331541002428BE96291C41805E29CBF633154180D7127297291C4180B20C31F13415410026534568291C41C05B20C18F3515418045B6B3BE281C4100AAF1D28E3615410035EF78AD281C41C0B5847CD03615418016D90EBC281C4180218E75733715418074249797281C4100341136D937154180AF94E5C7281C4180BB9690843815418037F8028D281C414020413110391541801058B99B281C410066F724DC3915418038D60582281C41007D3FB5903A15418059F5F9BF281C4100F54A59CF3A154180BC74132A291C4140234ABB3E3B1541002A3A125F291C41C06F5FC71D3C1541008A1FA36F291C4140C8073DA93C15418026C20642291C41006F81C43F3D154100B9FCC7BA281C41C0B6623FC03E15418009F9E01A291C41C0D85FB62B40154100CAC34205291C41003FC65CCF40154180B6627F3E291C4180F7E4A1C541154100F6979D152A1C41008195C3FD41154180FAEDEBF92A1C4100FED4F818421541007E8C398E2B1C41404013A17F42154100AB3E97652B1C41C04B3709FD42154180FB3AB0E42B1C4140DBF93EAC431541806CE7FB9D2B1C4100E258974A4415418088631D3A2B1C41409D80666F44154100BC0552442A1C41406519622544154180AC8B1BEC291C41C076BEDF614415410089D29E81291C4140C28627A644154180984C153F291C4100EEEB80B34415418007CE596C291C41807571DB3A451541003CBDD218291C41006D567DA945154100A089B0EA281C41805E298B0646154180E926B127291C410074B595AF46154100FDF6B583291C41C054C1A80E471541002FDD641F2A1C41400F0BB536471541806DC5BEC92A1C4180A0F8B14A47154100FBCB6E912B1C4100098A9F1A4715410090A038222C1C418006F01630471541008195031A2D1C4180180496C547154100ED0DBE232D1C414039B4084448154100CE19D1972C1C4100BC0552D8481541806FF0C5F72B1C41008A1FA30649154100AAF152942B1C4180E5D0E28A491541800B2428872B1C41400E2D329F4A1541008A1FE3722B1C4180C5FEB2464B1541808D06F0BF2B1C41C0408222DF4B1541809ECDEAE72B1C41C00E9CF37C4C154180D71272612C1C41802F4C660B4E154100197397102D1C41003945C76F4E1541805296E1822D1C414050FC98574E1541008E75B1E62D1C41003867047A4E154100053451242E1C41C047E1BAE14E154100780BE4722E1C410054E3A5854F15410060768F242E1C41800D4FAF1B50154180EE5A82AE2D1C41C0ACFA9CB150154100ADFA9C2A2D1C41C0B584FCE3501541003D9BD5702C1C4100BADA0A0B5115410020D26F1F2C1C4100917E7B86511541009E5EA9B42B1C4140984C55AA5215410095D449A32B1C41001973D749531541003CBDD21F2C1C41C06F5F07DF53154100CD3BCE102D1C41C05F768F27541541804469EF652E1C414090A0B81A54154100508D57972E1C4140014DC434541541,4999.999979792194
7,01020000204F6600004B00000000508D57972E1C4140014DC43454154180FD65B7182F1C4100D9CEF77854154100B9FC075C2F1C41000C93E9E654154100197397162F1C41407424578555154180779C22532E1C4100B8AF03A05515418031776D542D1C41C0847C90F155154100B150AB382C1C41007A366BB655154180506B9A482B1C41407958687D551541800B24A87B2A1C41C0DEE08B92541541808BDBE8C9291C4180BC7493A3541541005B42BE50291C418033A23465551541004547F29D291C414097FFD0085615418013D044A7291C4140FAEDAB99561541001B9E9E7C291C4100E3361AC257154100166A8D45291C4140431CEB4158154100CB1087B0281C410052B8DE2859154180E3A5DB7B281C41C0CEF7930B5A154180F7E421B6281C41C04E4053A75A154180218EF53D291C41809ECDAAE75A15418060E510D52A1C41808A8E64C95A154100143F06302C1C41009C3322175B154100431C6B942C1C4180EFA786835B1541005917F74F2C1C414092CBFF005C154100772D21992B1C41C0270F4B3B5C154180F6061F612B1C41402575C2A45C154180F4DBD7B42B1C4100B7D1C01A5D15410023DB39582B1C41C0B88D86E05D154100E8D9ECD1291C418048BFBDEF5D154100D6562C47291C41C09DEF277B5E154100DAAC3A8D291C41C01E85ABFB5E154180A982D1902A1C4140B29D6F2E5F154180B0E169C82A1C4180ED7C7FED5F15418059F579752A1C41C00C716CA260154100B5A6B9012A1C41C0F1D24D2261154100B459753C291C41000EBEF00B6115410055C1A8E5281C41803A01CD8260154100E63FA466281C41C09AE65D4860154180E1E995A2271C4180976ED2666015410080B7409A261C4180218E7533601541002AA9D392251C4180CDAACF85601541001214FF5C251C41C0D1001E2361154180CF665520271C4140840D8F516115418004C5CFA5271C4140598638D0611541806DC57EBD281C4140287E0C9663154180EE5A42AE281C41005917370C641541003A238A28271C4140DD24C64264154100B29D6FAC261C41C001BC058F641541808863DD1F261C414040136145651541005E4B483A241C410096B2CC5D67154100F0164855271C4100D26FDFF7671541806588231A271C41C0BDC117D268154180218E75EA251C4140CA32040069154180696FB0F2241C4180F6061FAE68154180E3A55B1E241C414050FC18FE6815418099999962241C41003FC6DCD169154100C4422DCF231C410061C353A26A154100D9CE373D241C41C0270F0B5D6B154180C3D32BBD231C41401CEBA2AC6B154100BC0512E6221C4140BB270FE26B154100083D5B95221C4180B515FBC06C1541003CBD12B4211C4180C3D32B096C1541000681554E1E1C414090A078C16C154100E86A2BF41D1C4180C420B0EF6D154180E2C718C91E1C41C0A8A4CE346E154100FBCB2E621F1C4180EE5A02816D1541003E79981A201C41C02C435CE46D1541802D219FB41F1C41C0F831A6306F15410067D5E79A1E1C41404ED191476F154180EC9EFCC11E1C4140DF4F4DEA70154100C66D74081D1C4180B20CF1BE711541800C022B141C1C41C03E57DB44721541804AEA04FE1A1C4140B1BF2CF071154180703D0A26191C4180567DEE08741541003A924B77191C410040A41F5275154100B37BF257191C41005A64BB70761541,5000.0000510100635
8,01020000204F6600002200000080522720EDD11A41404772B9FBAB1941002A3A524CD11A41401361C3B0AD1941005EBAC921D01A418095430B0AAE194180EA04F4C3CD1A41406744A940AD194180E92631B5CC1A41803C2C54B1AD194180DFBE0E64CC1A4100EEEB8041AF194100BADACAA0CC1A41C04603B830B01941003A234A01CE1A41806891ED81B01941009D11E593CF1A4100917EBB0FB119410043ADE905D01A41C010C7FAC3B2194100431C2B0BCF1A4100A7E8085DB419418075715B4DCC1A4100C9E5FFB3B4194180703DCA72CA1A41C01E85AB7AB6194180A223F91AC81A4140C807FDF5B5194100DBF97EF9C51A41402AA99349B819410085EB1145C51A4180EE5A82DFBA194180E4F29F2EC21A4140B81E057DBC194180F6061F0BBF1A41007F6AFCD2BD1941801E162ACDBA1A4180BE9F5AADBF1941009D11E5BFB81A4100DE02495EBF1941005B423ECDB71A41C0EC9EBCB4BD194100772DE160B41A41C0DFBE8ED0BF194100D9CE77B3B11A41C0A679C79DBE1941807424D72EAF1A410098DD539EBF194100F6979DD9AC1A4180029A0894C1194100A8C68B21AB1A41C098BBD6A9C21941006519225BA91A4140A835CD42C2194180EFA70693A71A4140F6975D35C31941800B242893A51A4180AEB6E2D1C31941003C4E1182A31A4140DC4683EBC5194180BB96102DA21A41409D80A61BC9194100C3646A8DA01A4180AC8B1B14CB1941006B2B3695A01A4180DB684059CD1941802A18D540A01A4180F2B05080CE1941,5000.000033103577
9,01020000204F6600003E0000000097FF5017921B41C002090A19AC154100BB27CFEB911B4100CE199173AC1541003C4E91B6911B41C0B359F5A1AC154100D9CE378F911B414041F1A38EAC154180D1919C69911B41802D211F6DAC1541002CD4DA81901B4100560EED78AC15418025E48309901B41801283C02CAD1541800A46A5F48F1B414062105897AD154100ABCF55B58F1B4100CCEEC943AE154100D26F1FFA8F1B4140F1638C0FAF1541803255B090901B4180711B0DB2AF154180081B1EE5901B4100E561A12FB01541804013E13E911B4140BD5216A6B01541007A362B9C911B410058393417B11541000A6822AD911B41C0FEB27BD1B11541804694F635911B41C05B200155B215418087855ADA901B418010587930B215410070CE888D901B414031082C6FB2154100A8C64B6C901B4100F0160841B3154180855A135B901B4100CE19D1C5B315418023B9BCC08F1B41C093870561B41541002AA953098F1B41C013D0848CB4154100A4DFBE658E1B41809A77DCE7B4154100BD52D61C8E1B41803C2C9414B5154180EA7335418E1B418051495DA2B51541804F1E565C8E1B41000EBE30E9B515410044FAED538E1B414031082C50B6154100234A7B278E1B41403789016BB6154180F7E4E1BA8D1B4140FDF6B589B615418067B3EA388D1B4180B0E1A9AFB615418036AB3E608C1B4180C0CAE15CB71541802E6E230B8C1B41009A089BB9B7154180006F81368C1B4180E61D2729B81541802BF617758C1B4140302AE94FB8154180D2DE205B8C1B4100F9A0A7E8B8154180FB3AB0B98B1B41C0D781F38AB9154100355E3A518B1B418036ABFE1CBA154100C3646A3A8B1B41C07493D865BA15418067B32A368B1B4180CE88923CBB1541008716D97F8B1B4180613255B1BB154180B96B09218C1B41006D567D3EBC154180D93DB9F38C1B41C0BDC1D780BC154100E8D9EC5E8D1B4180A22379AEBC1541808D97AE868D1B410066F76413BD1541805BB1BF958D1B4140DF4FCDB4BD1541809ECD6A958D1B41C039234AD4BE154100C7BAB8848D1B41005D6D45B9BF154180AA60D4878D1B41802A1895BAC01541002731C8048D1B41006D563D70C1154180A44EC0438C1B41400E2DF26EC21541801058F9268C1B41804C150CA2C3154180B81E05788C1B4100D26F1F43C41541004C3709A98C1B4140DF4F8DF2C415418001BC05B68C1B4140E3A59B57C515410062A1168A8C1B41009A089BD7C5154100431C2B338C1B41807AA56C2BC61541003A230AB28B1B41002B8796F4C6154100A7E8885C8B1B41C0703DCA60C8154180810485018B1B4140AB3E97B0C9154180627F99998A1B4140DF4F4DABCA154100A24576DC891B41401AC0DBE9CB1541800512946F891B4180E2C7D875CD1541,2718.925435883664
10,01020000204F660000A4000000800E2DF285CF1B418048BFFDEA9F15410073D7528ACF1B41804694B685A0154100A913D07CCF1B41804C15CCCFA015418033A2346ACF1B41C056ECEF14A11541803480B72CCF1B4100D7A3B052A115418026C2C6B3CE1B41407424976DA115410041F1E310CE1B41C01C5AE43AA1154100FFB27BA8CD1B4140DBF9BE5FA0154100C66D3490CD1B418019E2D81AA01541807571DB65CD1B41009F3C2C7E9F15418001BCC5C8CC1B41C0DA8ABDE09E154100728A4E57CC1B4180C95481E29E154100E8D9ECBECB1B4140431CEB0D9F154100B150AB08CB1B4100A3923A8C9F1541000DE02DD5CA1B4140302AA9B99F154180136183A5CA1B4140871619F19F154100FA7EAA6ACA1B41C010C73A49A0154100A2B4B747CA1B4100D34DE29BA0154180643B9FF2C91B4180635DDC0DA11541805BB13FB3C91B41C02B6519BCA1154100D656AC81C91B410062A1D606A21541009C33E208C91B41C04082E271A215410042CF26BEC81B41C0B3593592A2154180DA8ABD4FC81B410063EE1AAFA21541809ECDEA95C71B4140BF7DDD61A215418029CBD04CC61B4180559F6B8EA11541005530AA61C51B4100917E3BC1A1154180BC7413EBC31B414007CED949A2154180559F2BA0C31B4180D2DEE044A21541801C5AE493C21B41C0BCE35419A3154100728A0EF4C11B41804C150CA8A31541007502DA23C11B4140598638FEA3154180408222CBC01B4100EEEB4060A4154180A6798797C01B41405C8F0274A4154180E926F131C01B4140D6C5AD82A415418036AB3EC5BF1B41401FF46C91A4154100BE30D96DBF1B41801804D691A4154100EBE2F6EFBE1B4140A2B4B725A5154100053411F2BE1B4140A089F06AA5154180FA5C6DDBBE1B4180545267DEA5154100AF252488BE1B41401895D44CA6154180E17AD464BE1B41406EA38197A615418047E13A6FBD1B410061C3D3FDA61541808B6CE765BC1B41008F53F44EA71541807AA52C3BBC1B4180EFA70658A7154100A16733B0BB1B41C013D08471A71541006B2BF656BB1B4180ED7CBF63A7154100287ECCC2BA1B4100B1506B3DA715418059863844BA1B41801A2F1D45A71541803C2C547EB91B41808CB9EB4EA715410086C9D40FB91B4180BB965058A7154180847C108AB81B4140B1BF2C57A7154180006FC110B81B418016D98E49A71541802A1855D9B71B4100E9B76F2DA715410077BE5F43B71B41805DDC8603A71541801A2FDDC4B61B410034117619A7154100371A405AB61B418026C20668A7154180B6F3BD21B61B41008D286DDDA7154100F9A067D5B51B414062105828A815418050FC186EB51B4140F38E933AA8154180006F41E8B41B418010587929A81541009E5E2952B41B410032E62EE3A7154180FF903E0DB31B41C0C342AD96A7154100FFB23BECB11B41408B6C677DA7154180B1BF6CF2B01B41C03D795859A71541805149DDF4AF1B4180218E750CA7154100FED4B8BAAE1B4100F775E0CFA615418059867826AE1B4180029AC869A6154180B88D460CAE1B418018045648A61541004D848DC5AD1B41C001BC05EEA5154100A7E8489CAD1B4140795868B5A5154100287ECC54AD1B414003780B94A51541007B14AE0BAD1B4100F54AD990A51541000EBE70BBAC1B414025750293A5154180506B9A35AC1B41803255B083A5154100FF21BDCFAB1B41C0FEB2BB50A5154100075F588FAB1B4180FF90BE2BA5154180923A014DAB1B4180FB3A30DCA415418037894130AB1B4100143F86B3A4154180D8F0F4E6AA1B4180855A138BA41541800C022BCCAA1B41C096908F80A4154100F46C9696AA1B418061329572A4154180635D5C39AA1B4100D044180CA4154180B96B09F7A91B41C089B021C0A3154100295C4FC1A91B41001214FF93A31541804E40D389A91B4140F6975D64A3154100DAACFA55A91B41C0F1D28D4DA315410027314832A91B41804F1E9646A31541002A3AD2E3A81B410066F7A441A31541006EA381BCA81B41C067B36A35A3154180F90F29A5A81B41403CBDD213A315410087161993A81B41007A366BE0A21541806588A382A81B41C067B3AA90A215410021B0326BA81B41C0EEC9835BA215418065886347A81B4180DD93873DA215418060545205A81B414027A0C926A2154180E5D062AAA71B41805DDCC62AA2154180FE433A48A71B41C069DEB117A215410069006FD2A61B41406C78FA02A21541009BE69D75A61B4140696FB0F1A11541007E8C3937A61B4140CA32C4F3A1154100CAC342FEA51B41802A185509A215410063EE5AA7A51B41C01E85EB6EA21541801E85EB61A51B4100F31F5286A2154180CA32C42FA51B4100C364AA56A2154100B07228EAA41B41804F1E964AA21541001214FF92A41B41C0847CD073A2154100371A0031A41B41801B0DA089A215410040A49F90A31B410054E3259CA21541803F355E49A31B4180FB3AB0AAA2154180E848AECEA21B41002DB29DF7A21541800B242894A21B41404CA68A39A315410000008064A21B4100C3642A9DA31541001EA7A846A21B41C0073D9BF9A3154180AD691E15A21B41804C150C4FA4154100C05BA0B8A11B41004D844D78A4154180E3141D21A11B41800F7A7685A4154100F241CF5EA01B41401FF46C96A4154180711BCDAF9F1B4100BADACA63A415418095434B589F1B4100E02D1046A4154100B7D1402F9F1B418011A57D44A4154100E63FA4B49E1B41006F818498A4154180DB6880729E1B41809CA2A37AA4154180D2DEE04C9E1B414017B79155A415410010E9B7CA9D1B41C035CDFB57A41541804469EF7F9D1B41002DB2DD6BA4154180CA3284C39C1B4180A22379E5A4154100795868839C1B4140643B1FFBA415418031772DAF9B1B4100022B07F5A4154100F9A027149B1B4100C05B200BA51541004ED151C99A1B41002DB25D14A5154180C807FD8A9A1B41C0D85FF629A515418023B9FC4A9A1B41402575C24DA51541002FDD240B9A1B4180029A8891A515410057EC6FE2991B41007A366BD3A51541006D563D8F991B414039B4484EA615410064CC5D66991B4100B1506B6EA6154180C64B37B4981B41806CE73B8FA61541008D282D3B981B41801F63AEB8A61541000C9369F0971B418088631DD0A6154100A9A4CE73971B4140E3A5DBFEA6154180E61DA70A971B4140DD24060AA7154100C6DC35CC961B4140B4C87601A7154100B9FCC784961B418014AE87ECA61541800C716CFB951B41C086A757E4A61541801B0D2007951B418016D98EE5A615418058A8359E941B4140431CAB20A7154100143FC631941B4100BE30D962A715410097FF50EE931B4100BC0552A1A715418013D084F2931B4100B7D1C01BA8154180E7FBE97B931B4100C7BA78C8A8154180AF946553931B41C0ACFA9C2FA91541006900EF5A931B41806891AD7DA915410010E9F779931B4100F46C9612AA154180AF9425A7931B4100A69B4489AA154180226C38B2931B41003867C4D3AA1541003B708E86931B41C01726938CAB154180ABAD9832931B4140CA32046DAB1541007958E8E5921B41004D844D66AB154100D42BE5BC921B4140CD3B0E6AAB15418004C54F80921B41008F537471AB154100B150AB4E921B4140ED0DBEA8AB154100022B8722921B41408FC2B501AC15410097FF5017921B41C002090A19AC1541,5000.000046054242
