source_table,code_debit,ire_station,station_id,date_jr,valeur_source_brute,valeur_brute,valeur_preparee,valeur_cible,unite_source,unite_finale,conversion_regle,flags_qa,ratio_prepare_sur_brut,classification
raw_mesures_debit_jr,1564,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1988-12-12,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1565,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1988-12-13,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1566,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1988-12-14,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1567,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1988-12-15,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1568,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1988-12-16,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1569,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1988-12-17,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1570,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1988-12-18,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1571,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1988-12-19,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1572,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1988-12-20,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1573,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1988-12-21,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
