domaine,table_source,table_cible,parametre_source,parametre_canonique,unite,type_metier,entite_geo_type,entite_geo_id,entite_geo_code,entite_geo_nom,champ_rattachement,x,y,geom_present,statut_geo,commentaire,action_recommandee,volume_total,volume_geo_ok,volume_no_ref,volume_no_xy,volume_ambigu,volume_referentiel_manquant
idp,staging.raw_idp_2024_mesures_qualite_globale,,MES,MES,,idp_2024,point_prelevement,,,,coord_x/coord_y,404650.0,423453.0,false,GEO_NO_REF,volume=71 | xy=59,BACKLOG_GEO,71,0,71,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Mg++,Mg++,,idp_2024,point_prelevement,,,,coord_x/coord_y,404650.0,423453.0,false,GEO_NO_REF,volume=77 | xy=65,BACKLOG_GEO,77,0,77,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Mn,Mn,,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=34 | xy=34,BACKLOG_GEO,34,0,34,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Mo,Mo,,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=27 | xy=27,BACKLOG_GEO,27,0,27,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,NH4+ ,NH4+ ,,idp_2024,point_prelevement,,,,coord_x/coord_y,404650.0,423453.0,false,GEO_NO_REF,volume=77 | xy=65,BACKLOG_GEO,77,0,77,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,NO2-,NO2-,,idp_2024,point_prelevement,,,,coord_x/coord_y,404650.0,423453.0,false,GEO_NO_REF,volume=77 | xy=65,BACKLOG_GEO,77,0,77,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,NO3-,NO3-,,idp_2024,point_prelevement,,,,coord_x/coord_y,404650.0,423453.0,false,GEO_NO_REF,volume=77 | xy=65,BACKLOG_GEO,77,0,77,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,NTK,NTK,,idp_2024,point_prelevement,,,,coord_x/coord_y,404650.0,423453.0,false,GEO_NO_REF,volume=71 | xy=59,BACKLOG_GEO,71,0,71,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Na+,Na+,,idp_2024,point_prelevement,,,,coord_x/coord_y,404650.0,423453.0,false,GEO_NO_REF,volume=70 | xy=58,BACKLOG_GEO,70,0,70,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Ni,Ni,,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=27 | xy=27,BACKLOG_GEO,27,0,27,0,0,0
