domaine,table_source,table_cible,parametre_source,parametre_canonique,unite,type_metier,entite_geo_type,entite_geo_id,entite_geo_code,entite_geo_nom,champ_rattachement,x,y,geom_present,statut_geo,commentaire,action_recommandee,volume_total,volume_geo_ok,volume_no_ref,volume_no_xy,volume_ambigu,volume_referentiel_manquant
idp,staging.raw_idp_2024_mesures_qualite_globale,,K+,K+,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=74 | xy=74,RATTACHER_MANUELLEMENT,74,0,0,0,74,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Li,Li,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=11 | xy=11,RATTACHER_MANUELLEMENT,11,0,0,0,11,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,MES,MES,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=80 | xy=80,RATTACHER_MANUELLEMENT,80,0,0,0,80,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Mg++,Mg++,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=81 | xy=81,RATTACHER_MANUELLEMENT,81,0,0,0,81,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Mn,Mn,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=16 | xy=16,RATTACHER_MANUELLEMENT,16,0,0,0,16,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Mo,Mo,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=15 | xy=15,RATTACHER_MANUELLEMENT,15,0,0,0,15,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,NH4+ ,NH4+ ,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=80 | xy=80,RATTACHER_MANUELLEMENT,80,0,0,0,80,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,NO2-,NO2-,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=81 | xy=81,RATTACHER_MANUELLEMENT,81,0,0,0,81,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,NO3-,NO3-,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=81 | xy=81,RATTACHER_MANUELLEMENT,81,0,0,0,81,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,NTK,NTK,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=80 | xy=80,RATTACHER_MANUELLEMENT,80,0,0,0,80,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Na+,Na+,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=74 | xy=74,RATTACHER_MANUELLEMENT,74,0,0,0,74,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Ni,Ni,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=15 | xy=15,RATTACHER_MANUELLEMENT,15,0,0,0,15,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,PO43-,PO43-,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=80 | xy=80,RATTACHER_MANUELLEMENT,80,0,0,0,80,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,PT,PT,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=80 | xy=80,RATTACHER_MANUELLEMENT,80,0,0,0,80,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Pb,Pb,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=15 | xy=15,RATTACHER_MANUELLEMENT,15,0,0,0,15,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Phénol,Phénol,,idp_2024,point_prelevement,,,,coord_x/coord_y,446982.0,441695.0,false,GEO_AMBIGU,volume=20 | xy=20,RATTACHER_MANUELLEMENT,20,0,0,0,20,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,"RS 
mesuré","RS 
mesuré",,idp_2024,point_prelevement,,,,coord_x/coord_y,548059.0,363432.0,false,GEO_AMBIGU,volume=1 | xy=1,RATTACHER_MANUELLEMENT,1,0,0,0,1,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,SF,SF,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=77 | xy=77,RATTACHER_MANUELLEMENT,77,0,0,0,77,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,SO4--,SO4--,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=81 | xy=81,RATTACHER_MANUELLEMENT,81,0,0,0,81,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Sb,Sb,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=15 | xy=15,RATTACHER_MANUELLEMENT,15,0,0,0,15,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Se,Se,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=15 | xy=15,RATTACHER_MANUELLEMENT,15,0,0,0,15,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Sn,Sn,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=11 | xy=11,RATTACHER_MANUELLEMENT,11,0,0,0,11,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Sr,Sr,,idp_2024,point_prelevement,,,,coord_x/coord_y,519827.0,322725.0,false,GEO_AMBIGU,volume=2 | xy=2,RATTACHER_MANUELLEMENT,2,0,0,0,2,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,TAC_meq/l,TAC_meq/l,,idp_2024,point_prelevement,,,,coord_x/coord_y,507600.0,311800.0,false,GEO_AMBIGU,volume=2 | xy=2,RATTACHER_MANUELLEMENT,2,0,0,0,2,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,TAC_°F,TAC_°F,,idp_2024,point_prelevement,,,,coord_x/coord_y,507600.0,311800.0,false,GEO_AMBIGU,volume=2 | xy=2,RATTACHER_MANUELLEMENT,2,0,0,0,2,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,TA_meq/l,TA_meq/l,,idp_2024,point_prelevement,,,,coord_x/coord_y,507600.0,311800.0,false,GEO_AMBIGU,volume=2 | xy=2,RATTACHER_MANUELLEMENT,2,0,0,0,2,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,TA_°F,TA_°F,,idp_2024,point_prelevement,,,,coord_x/coord_y,507600.0,311800.0,false,GEO_AMBIGU,volume=2 | xy=2,RATTACHER_MANUELLEMENT,2,0,0,0,2,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,TH,TH,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=81 | xy=81,RATTACHER_MANUELLEMENT,81,0,0,0,81,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Tl,Tl,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=2 | xy=2,RATTACHER_MANUELLEMENT,2,0,0,0,2,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,V,V,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=11 | xy=11,RATTACHER_MANUELLEMENT,11,0,0,0,11,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Zn,Zn,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=11 | xy=11,RATTACHER_MANUELLEMENT,11,0,0,0,11,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,"somme
anions_meq/l3","somme
anions_meq/l3",,idp_2024,point_prelevement,,,,coord_x/coord_y,507600.0,311800.0,false,GEO_AMBIGU,volume=3 | xy=3,RATTACHER_MANUELLEMENT,3,0,0,0,3,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,"somme
anions_mg/l4","somme
anions_mg/l4",,idp_2024,point_prelevement,,,,coord_x/coord_y,507600.0,311800.0,false,GEO_AMBIGU,volume=3 | xy=3,RATTACHER_MANUELLEMENT,3,0,0,0,3,0
idp,staging.raw_idp_2024_mesures_qualite_marche_cadre,,Arsenic,Arsenic,,idp_2024,point_prelevement,,,,coord_x/coord_y,392500.0,409172.0,false,GEO_AMBIGU,volume=4 | xy=4,RATTACHER_MANUELLEMENT,4,0,0,0,4,0
idp,staging.raw_idp_2024_mesures_qualite_marche_cadre,,Bilan_Ionique,Bilan_Ionique,,idp_2024,point_prelevement,,,,coord_x/coord_y,377613.0,394130.0,false,GEO_AMBIGU,volume=48 | xy=48,RATTACHER_MANUELLEMENT,48,0,0,0,48,0
idp,staging.raw_idp_2024_mesures_qualite_marche_cadre,,CF,CF,,idp_2024,point_prelevement,,,,coord_x/coord_y,377613.0,394130.0,false,GEO_AMBIGU,volume=48 | xy=48,RATTACHER_MANUELLEMENT,48,0,0,0,48,0
idp,staging.raw_idp_2024_mesures_qualite_marche_cadre,,CO3,CO3,,idp_2024,point_prelevement,,,,coord_x/coord_y,377613.0,394130.0,false,GEO_AMBIGU,volume=48 | xy=48,RATTACHER_MANUELLEMENT,48,0,0,0,48,0
idp,staging.raw_idp_2024_mesures_qualite_marche_cadre,,CT,CT,,idp_2024,point_prelevement,,,,coord_x/coord_y,377613.0,394130.0,false,GEO_AMBIGU,volume=48 | xy=48,RATTACHER_MANUELLEMENT,48,0,0,0,48,0
idp,staging.raw_idp_2024_mesures_qualite_marche_cadre,,Ca++,Ca++,,idp_2024,point_prelevement,,,,coord_x/coord_y,377613.0,394130.0,false,GEO_AMBIGU,volume=48 | xy=48,RATTACHER_MANUELLEMENT,48,0,0,0,48,0
idp,staging.raw_idp_2024_mesures_qualite_marche_cadre,,Cadmium,Cadmium,,idp_2024,point_prelevement,,,,coord_x/coord_y,392500.0,409172.0,false,GEO_AMBIGU,volume=4 | xy=4,RATTACHER_MANUELLEMENT,4,0,0,0,4,0
idp,staging.raw_idp_2024_mesures_qualite_marche_cadre,,Chl a,Chl a,,idp_2024,point_prelevement,,,,coord_x/coord_y,406835.0,432501.0,false,GEO_AMBIGU,volume=8 | xy=8,RATTACHER_MANUELLEMENT,8,0,0,0,8,0
idp,staging.raw_idp_2024_mesures_qualite_marche_cadre,,Chrome,Chrome,,idp_2024,point_prelevement,,,,coord_x/coord_y,392500.0,409172.0,false,GEO_AMBIGU,volume=4 | xy=4,RATTACHER_MANUELLEMENT,4,0,0,0,4,0
idp,staging.raw_idp_2024_mesures_qualite_marche_cadre,,Cl-_IC,Cl-_IC,,idp_2024,point_prelevement,,,,coord_x/coord_y,377613.0,394130.0,false,GEO_AMBIGU,volume=56 | xy=56,RATTACHER_MANUELLEMENT,56,0,0,0,56,0
