source_row_id,ire_barrage,date_jr,barrage_id,rn,exclusion_reason
82024,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,65,DATE_NULL
82025,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,66,DATE_NULL
82026,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,67,DATE_NULL
82027,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,68,DATE_NULL
82028,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,69,DATE_NULL
82029,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,70,DATE_NULL
82030,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,71,DATE_NULL
82031,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,72,DATE_NULL
82032,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,73,DATE_NULL
82033,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,74,DATE_NULL
82034,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,75,DATE_NULL
82035,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,76,DATE_NULL
82036,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,77,DATE_NULL
82037,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,78,DATE_NULL
82038,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,79,DATE_NULL
82039,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,80,DATE_NULL
82040,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,81,DATE_NULL
82041,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,82,DATE_NULL
82042,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,83,DATE_NULL
82043,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,84,DATE_NULL
82044,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,85,DATE_NULL
82045,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,86,DATE_NULL
82046,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,87,DATE_NULL
82047,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,88,DATE_NULL
82048,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,89,DATE_NULL
82049,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,90,DATE_NULL
82050,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,91,DATE_NULL
82051,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,92,DATE_NULL
61084,2847/15,2019-01-01,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61094,2847/15,2019-01-02,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61104,2847/15,2019-01-03,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61114,2847/15,2019-01-04,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61124,2847/15,2019-01-05,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61134,2847/15,2019-01-06,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61144,2847/15,2019-01-07,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61154,2847/15,2019-01-08,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61164,2847/15,2019-01-09,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61174,2847/15,2019-01-10,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61184,2847/15,2019-01-11,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61194,2847/15,2019-01-12,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61204,2847/15,2019-01-13,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61214,2847/15,2019-01-14,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61224,2847/15,2019-01-15,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61234,2847/15,2019-01-16,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61244,2847/15,2019-01-17,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61254,2847/15,2019-01-18,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61264,2847/15,2019-01-19,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61274,2847/15,2019-01-20,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61284,2847/15,2019-01-21,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61294,2847/15,2019-01-22,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61304,2847/15,2019-01-23,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61314,2847/15,2019-01-24,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61324,2847/15,2019-01-25,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
