arbitrage_id,priority,anomaly_type,source_layer_a,source_feature_id_a,source_layer_b,source_feature_id_b,match_method,match_score,distance_m,site_name_a,site_name_b,commune_a,commune_b,recommended_status,business_decision,comments
c3a49e57-a4b1-491c-b5c2-cea329101f56,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,12,idp_mesures_qualité_marche_cadre_2024,12,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,PENDING_REVIEW,,Couple inventaire/mesure marche cadre.
05622d3a-4540-4775-90e2-6d1bcaf7650b,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,13,idp_mesures_qualité_marche_cadre_2024,13,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,PENDING_REVIEW,,Couple inventaire/mesure marche cadre.
af87d257-6d4b-47c6-af9f-93c655e86a71,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,14,idp_mesures_qualité_marche_cadre_2024,14,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,PENDING_REVIEW,,Couple inventaire/mesure marche cadre.
a6129fc5-359f-4eee-a4ae-60bbb495e33f,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,15,idp_mesures_qualité_marche_cadre_2024,15,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,PENDING_REVIEW,,Couple inventaire/mesure marche cadre.
db8dd1a7-bc39-4e94-8e85-8bbc246deb2f,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,16,idp_mesures_qualité_marche_cadre_2024,16,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,PENDING_REVIEW,,Couple inventaire/mesure marche cadre.
857f1495-26ed-4e66-b6d4-85708867a06d,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,17,idp_mesures_qualité_marche_cadre_2024,17,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,PENDING_REVIEW,,Couple inventaire/mesure marche cadre.
cbb25a66-2f5b-4ac8-91b1-563e2ff4fe0f,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,18,idp_mesures_qualité_marche_cadre_2024,18,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,PENDING_REVIEW,,Couple inventaire/mesure marche cadre.
2dc06207-16f3-4565-b9d9-169634cb735b,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,19,idp_mesures_qualité_marche_cadre_2024,19,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,PENDING_REVIEW,,Couple inventaire/mesure marche cadre.
4135006e-c350-49b9-b665-b8d9a53a67c3,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,20,idp_mesures_qualité_marche_cadre_2024,20,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,PENDING_REVIEW,,Couple inventaire/mesure marche cadre.
25f9c7a0-6c30-47b8-af0d-a8d296cd1dbc,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,21,idp_mesures_qualité_marche_cadre_2024,21,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,PENDING_REVIEW,,Couple inventaire/mesure marche cadre.
