table_a,id_point_a,x_a,y_a,table_b,id_point_b,x_b,y_b,distance_m,type_match
staging.raw_idp_2024_mesures_qualite_marche_cadre,184,396150.0,380300.0,staging.raw_idp_2024_src_pollution_globale,243,379171.0,391091.0,20117.955,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1840,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1841,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1842,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1843,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1844,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1845,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1846,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1847,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1848,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1849,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,185,396150.0,380300.0,staging.raw_idp_2024_src_pollution_globale,243,379171.0,391091.0,20117.955,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1850,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1851,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1852,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1853,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1854,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1855,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1856,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1857,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1858,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1859,531300.0,283900.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,10298.0,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,186,396150.0,380300.0,staging.raw_idp_2024_src_pollution_globale,243,379171.0,391091.0,20117.955,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1860,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1861,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1862,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1863,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1864,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
