edge_id,direction_status,z_start,z_end,dz,slope,longueur_m,decision,commentaire_collaboratrice,besoin_validation_metier,date_validation,validateur
417,FLOW_REVERSED_SUSPECTED,793.0,976.0,-183.0,-0.022979769767562445,7963.526260316034,,,,,
421,FLOW_REVERSED_SUSPECTED,389.0,450.0,-61.0,-0.011793584090377085,5172.30381642614,,,,,
423,FLOW_REVERSED_SUSPECTED,482.0,554.0,-72.0,-0.01324518777401514,5435.936524905449,,,,,
429,FLOW_REVERSED_SUSPECTED,311.0,332.0,-21.0,-0.004266220293459255,4922.389974140832,,,,,
433,FLOW_REVERSED_SUSPECTED,277.0,322.0,-45.0,-0.008625810476062735,5216.9010813393525,,,,,
435,FLOW_REVERSED_SUSPECTED,214.0,218.0,-4.0,-0.0014762139506288513,2709.63433064431,,,,,
438,FLOW_REVERSED_SUSPECTED,230.0,267.0,-37.0,-0.00710569386344774,5207.091764863523,,,,,
448,FLOW_REVERSED_SUSPECTED,540.0,548.0,-8.0,-0.005705027436251431,1402.2719591435502,,,,,
456,FLOW_REVERSED_SUSPECTED,450.0,517.0,-67.0,-0.012980614137072584,5161.5431513866715,,,,,
458,FLOW_REVERSED_SUSPECTED,448.0,482.0,-34.0,-0.006426845498649926,5290.309220463182,,,,,
459,FLOW_REVERSED_SUSPECTED,53.0,60.0,-7.0,-0.0014000000218907177,4999.999921818867,,,,,
460,FLOW_REVERSED_SUSPECTED,158.0,175.0,-17.0,-0.003400000016017933,4999.999976444216,,,,,
462,FLOW_REVERSED_SUSPECTED,231.0,235.0,-4.0,-0.0007459783880035786,5362.085637232712,,,,,
463,FLOW_REVERSED_SUSPECTED,235.0,257.0,-22.0,-0.004743511453584361,4637.914383736977,,,,,
464,FLOW_REVERSED_SUSPECTED,203.0,231.0,-28.0,-0.009591149574163207,2919.3580793929905,,,,,
466,FLOW_REVERSED_SUSPECTED,175.0,206.0,-31.0,-0.05443605049508739,569.4755537563772,,,,,
467,FLOW_REVERSED_SUSPECTED,154.0,158.0,-4.0,-0.0007999999991164969,5000.000005521894,,,,,
468,FLOW_REVERSED_SUSPECTED,134.0,154.0,-20.0,-0.004000000009708335,4999.999987864581,,,,,
469,FLOW_REVERSED_SUSPECTED,103.0,109.0,-6.0,-0.13383625885562914,44.83090046974696,,,,,
470,FLOW_REVERSED_SUSPECTED,109.0,129.0,-20.0,-0.004036189199268597,4955.169099512041,,,,,
472,FLOW_REVERSED_SUSPECTED,113.0,134.0,-21.0,-0.004596188371223424,4569.003335781508,,,,,
475,FLOW_REVERSED_SUSPECTED,101.0,149.0,-48.0,-0.004800000034583478,9999.999927951088,,,,,
476,FLOW_REVERSED_SUSPECTED,88.0,97.0,-9.0,-0.0037840473418677047,2378.4057615827396,,,,,
478,FLOW_REVERSED_SUSPECTED,73.0,101.0,-28.0,-0.0027999999874198152,10000.000044929231,,,,,
482,FLOW_REVERSED_SUSPECTED,60.0,73.0,-13.0,-0.0026000000098948847,4999.999980971375,,,,,
488,FLOW_REVERSED_SUSPECTED,142.0,150.0,-8.0,-0.0015999999890352475,5000.000034264852,,,,,
490,FLOW_REVERSED_SUSPECTED,235.0,355.0,-120.0,-0.0240006275860146,4999.869256332496,,,,,
491,FLOW_REVERSED_SUSPECTED,257.0,392.0,-135.0,-0.013500000033143271,9999.99997544943,,,,,
492,FLOW_REVERSED_SUSPECTED,1431.0,1446.0,-15.0,-0.005612679558254278,2672.520289874785,,,,,
494,FLOW_REVERSED_SUSPECTED,1252.0,1431.0,-179.0,-0.017899999749549072,10000.000139916721,,,,,
495,FLOW_REVERSED_SUSPECTED,1089.0,1252.0,-163.0,-0.01629999989917588,10000.00006185529,,,,,
496,FLOW_REVERSED_SUSPECTED,875.0,1089.0,-214.0,-0.021399999968049137,10000.00001493031,,,,,
497,FLOW_REVERSED_SUSPECTED,727.0,875.0,-148.0,-0.01479999943017669,10000.000385015765,,,,,
498,FLOW_REVERSED_SUSPECTED,32.0,88.0,-56.0,-0.010286181804241543,5444.19698832352,,,,,
499,FLOW_REVERSED_SUSPECTED,646.0,727.0,-81.0,-0.00809999956733585,10000.0005341533,,,,,
504,FLOW_REVERSED_SUSPECTED,392.0,646.0,-254.0,-0.025399999753511066,10000.000097042888,,,,,
507,FLOW_REVERSED_SUSPECTED,594.0,688.0,-94.0,-0.017762784663957903,5291.963043989012,,,,,
510,FLOW_REVERSED_SUSPECTED,206.0,240.0,-34.0,-0.005360710327805124,6342.443057153748,,,,,
513,FLOW_REVERSED_SUSPECTED,32.0,55.0,-23.0,-0.004599999999989047,5000.000000011905,,,,,
516,FLOW_REVERSED_SUSPECTED,159.0,163.0,-4.0,-0.00039999998953836976,10000.000261540763,,,,,
518,FLOW_REVERSED_SUSPECTED,725.0,789.0,-64.0,-0.025506335776167822,2509.180486042187,,,,,
522,FLOW_REVERSED_SUSPECTED,58.0,60.0,-2.0,-0.0003999999999995952,5000.00000000506,,,,,
527,FLOW_REVERSED_SUSPECTED,75.0,80.0,-5.0,-0.000999999999999975,5000.000000000125,,,,,
532,FLOW_REVERSED_SUSPECTED,20.0,24.0,-4.0,-0.01880154236272746,212.7485034381901,,,,,
534,FLOW_REVERSED_SUSPECTED,129.0,146.0,-17.0,-0.0033999999999973153,5000.000000003948,,,,,
535,FLOW_REVERSED_SUSPECTED,146.0,196.0,-50.0,-0.010000000000001346,4999.999999999327,,,,,
536,FLOW_REVERSED_SUSPECTED,196.0,282.0,-86.0,-0.028569946987815936,3010.1560929278567,,,,,
538,FLOW_REVERSED_SUSPECTED,226.0,278.0,-52.0,-0.023282382420277036,2233.4484101039543,,,,,
550,FLOW_REVERSED_SUSPECTED,200.0,242.0,-42.0,-0.007367796663552345,5700.48305048499,,,,,
552,FLOW_REVERSED_SUSPECTED,29.0,31.0,-2.0,-0.0003708324858150836,5393.270752976329,,,,,
553,FLOW_REVERSED_SUSPECTED,198.0,201.0,-3.0,-0.0005419228070189531,5535.843779121625,,,,,
560,FLOW_REVERSED_SUSPECTED,385.0,415.0,-30.0,-0.005453359140912953,5501.196459798477,,,,,
561,FLOW_REVERSED_SUSPECTED,415.0,488.0,-73.0,-0.009708485993810176,7519.195067752325,,,,,
566,FLOW_REVERSED_SUSPECTED,246.0,275.0,-29.0,-0.005259339587542526,5514.00028792408,,,,,
577,FLOW_REVERSED_SUSPECTED,31.0,39.0,-8.0,-0.00048749327999487123,16410.482622620286,,,,,
596,FLOW_REVERSED_SUSPECTED,254.0,281.0,-27.0,-0.005050598763578399,5345.900805802723,,,,,
597,FLOW_REVERSED_SUSPECTED,281.0,367.0,-86.0,-0.0052105135841547,16505.09083433313,,,,,
600,FLOW_REVERSED_SUSPECTED,489.0,523.0,-34.0,-0.0030715504502142766,11069.32819469988,,,,,
601,FLOW_REVERSED_SUSPECTED,523.0,830.0,-307.0,-0.054839459349683796,5598.158764520536,,,,,
602,FLOW_REVERSED_SUSPECTED,869.0,985.0,-116.0,-0.010427542189355024,11124.38558325075,,,,,
603,FLOW_REVERSED_SUSPECTED,768.0,869.0,-101.0,-0.01845702775332626,5472.1703488687735,,,,,
606,FLOW_REVERSED_SUSPECTED,985.0,1197.0,-212.0,-0.03747433455508171,5657.205191686366,,,,,
608,FLOW_REVERSED_SUSPECTED,42.0,55.0,-13.0,-0.000796154419250707,16328.490661692016,,,,,
609,FLOW_REVERSED_SUSPECTED,39.0,42.0,-3.0,-0.0005585723141120517,5370.835475025332,,,,,
610,FLOW_REVERSED_SUSPECTED,55.0,66.0,-11.0,-0.0020817047395173664,5284.130737267908,,,,,
611,FLOW_REVERSED_SUSPECTED,67.0,75.0,-8.0,-0.0014746385163905346,5425.058352321869,,,,,
616,FLOW_REVERSED_SUSPECTED,29.0,32.0,-3.0,-0.0005532600640138427,5422.4047516376295,,,,,
623,FLOW_REVERSED_SUSPECTED,738.0,778.0,-40.0,-0.004736044045517627,8445.867398099375,,,,,
624,FLOW_REVERSED_SUSPECTED,415.0,419.0,-4.0,-0.0010176690329589267,3930.550965444814,,,,,
628,FLOW_REVERSED_SUSPECTED,388.0,415.0,-27.0,-0.0068075467057667535,3966.1865231314505,,,,,
636,FLOW_REVERSED_SUSPECTED,368.0,383.0,-15.0,-0.002726113190011728,5502.339394768663,,,,,
638,FLOW_REVERSED_SUSPECTED,160.0,185.0,-25.0,-0.004548342214626084,5496.508138637329,,,,,
639,FLOW_REVERSED_SUSPECTED,160.0,165.0,-5.0,-0.0009046442005360528,5527.034824340019,,,,,
640,FLOW_REVERSED_SUSPECTED,165.0,179.0,-14.0,-0.001600042068341925,8749.769944803873,,,,,
657,FLOW_REVERSED_SUSPECTED,0.0,54.0,-54.0,-0.021885959788712606,2467.335246949041,,,,,
667,FLOW_REVERSED_SUSPECTED,10.0,50.0,-40.0,-0.014420372628035777,2773.853424718919,,,,,
674,FLOW_REVERSED_SUSPECTED,71.0,111.0,-40.0,-0.007533820142443006,5309.391416799755,,,,,
681,FLOW_REVERSED_SUSPECTED,4.0,10.0,-6.0,-0.0011348565143188816,5287.011991644672,,,,,
