layer,base_geographic_epsg,projected_epsg_from_ogrinfo,reported_manifest_crs,status,comment
idp_src_pollution_globale,EPSG:4261,EPSG:26191,EPSG:26191,OK,4261 is the base geographic CRS; 26191 is the projected layer CRS used for metric distances.
idp_src_pollution_marche_cadre,EPSG:4261,EPSG:26191,EPSG:26191,OK,4261 is the base geographic CRS; 26191 is the projected layer CRS used for metric distances.
idp_mesures_qualité_marche_cadre_2024,EPSG:4261,EPSG:26191,EPSG:26191,OK,4261 is the base geographic CRS; 26191 is the projected layer CRS used for metric distances.
idp_mesures_qualité_globale_2024,EPSG:4261,EPSG:26191,EPSG:26191,OK,4261 is the base geographic CRS; 26191 is the projected layer CRS used for metric distances.
